Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,33.11,33.12,30995,33.21,32.96,33.02,108,32.09,32.1,30995,32.19,31.95,32,,
2023-03-02,32.83,33.38,14174,33.4,32.83,33.18,97,31.82,32.35,14174,32.37,31.82,32.16,,
2023-03-03,33.42,33.68,20769,33.75,33.42,33.55,64,32.39,32.64,20769,32.71,32.39,32.52,,
2023-03-06,33.77,33.54,32074,33.82,33.34,33.43,120,32.73,32.51,32074,32.78,32.31,32.4,,
2023-03-07,33.28,32.98,12004,33.32,32.93,33.02,93,32.26,31.97,12004,32.29,31.92,32,,
2023-03-08,33.03,32.92,8198,33.16,32.71,32.88,70,32.01,31.91,8198,32.14,31.7,31.87,,
2023-03-09,33.03,32.12,16778,33.08,32.12,32.63,133,32.01,31.13,16778,32.06,31.13,31.63,,
2023-03-10,31.83,31.52,26729,31.94,31.4,31.75,110,30.85,30.55,26729,30.96,30.43,30.77,,
2023-03-13,30.87,30.63,10625,30.93,30.63,30.8,167,29.92,29.69,10625,29.98,29.69,29.85,,
2023-03-14,31.34,30.93,15690,31.51,30.72,31.23,102,30.38,29.98,15690,30.54,29.77,30.27,,
2023-03-15,30.16,30.23,10534,30.32,29.81,30.05,103,29.23,29.3,10534,29.39,28.89,29.13,,
2023-03-16,29.87,30.8,16001,30.82,29.87,30.57,98,28.95,29.85,16001,29.87,28.95,29.63,,
2023-03-17,30.56,30.26,12104,30.68,30.14,30.24,58,29.62,29.33,12104,29.74,29.21,29.31,,
2023-03-20,30.55,30.74,18043,30.95,30.55,30.72,133,29.61,29.79,18043,30,29.61,29.77,,
2023-03-21,31.29,31.29,16061,31.35,31.25,31.28,99,30.33,30.33,16061,30.39,30.29,30.32,,
2023-03-22,31.23,30.7,22671,31.43,30.7,31.2,101,30.27,29.76,22671,30.46,29.76,30.24,,
2023-03-23,30.84,30.3,20757,31.04,30.14,30.6,73,29.89,29.37,20757,30.08,29.21,29.66,,
2023-03-24,30.12,30.32,13572,30.55,29.88,30.23,73,29.19,29.39,13572,29.61,28.96,29.3,,
2023-03-27,30.47,30.67,13984,30.8,30.4,30.66,96,29.53,29.73,13984,29.85,29.46,29.72,,
2023-03-28,30.51,30.76,29842,30.87,30.51,30.76,174,29.57,29.81,29842,29.92,29.57,29.81,,
2023-03-29,31.25,31.13,19900,31.25,30.98,31.03,86,30.29,30.17,19900,30.29,30.03,30.08,,
2023-03-30,31.44,31.24,7283,31.44,31.19,31.25,107,30.47,30.28,7283,30.47,30.23,30.29,,
2023-03-31,31.43,31.81,40441,31.81,31.43,31.62,70,30.46,30.83,40441,30.83,30.46,30.65,,
