Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,29.64,29.58,601,29.64,29.58,29.64,7,27.46,27.41,601,27.46,27.41,27.46,,
2023-03-02,29.77,29.77,3,29.77,29.77,29.8,1,27.58,27.58,3,27.58,27.58,27.61,,
2023-03-03,30,29.96,2429,30,29.89,29.95,13,27.8,27.76,2429,27.8,27.69,27.75,,
2023-03-06,29.79,29.79,10,29.79,29.79,30.19,1,27.6,27.6,10,27.6,27.6,27.97,,
2023-03-07,29.5,29.5,35,29.5,29.5,29.68,1,27.33,27.33,35,27.33,27.33,27.5,,
2023-03-08,29.34,29.1,800,29.34,29.1,29.25,8,27.18,26.96,800,27.18,26.96,27.1,,
2023-03-09,29.16,28.7,1445,29.16,28.7,29.09,11,27.02,26.59,1445,27.02,26.59,26.95,,
2023-03-10,28.36,28.36,96,28.36,28.36,28.6,2,26.28,26.28,96,26.28,26.28,26.5,,
2023-03-13,28.82,28.82,10,28.82,28.82,28.96,1,26.7,26.7,10,26.7,26.7,26.83,,
2023-03-14,28.78,29.02,683,29.02,28.78,28.78,3,26.67,26.89,683,26.89,26.67,26.67,,
2023-03-15,29.09,29.09,55,29.09,29.09,28.96,7,26.95,26.95,55,26.95,26.95,26.83,,
2023-03-16,29.21,29.21,52,29.21,29.21,28.81,2,27.06,27.06,52,27.06,27.06,26.69,,
2023-03-17,28.79,28.84,341,28.84,28.79,28.81,3,26.67,26.72,341,26.72,26.67,26.69,,
2023-03-20,29.05,29.12,952,29.12,29.01,29.03,5,26.92,26.98,952,26.98,26.88,26.9,,
2023-03-21,29.13,29.16,1231,29.16,29.01,29.08,5,26.99,27.02,1231,27.02,26.88,26.94,,
2023-03-22,28.95,28.79,476,28.95,28.79,28.97,6,26.82,26.67,476,26.82,26.67,26.84,,
2023-03-23,28.98,28.98,0,28.98,28.98,,undefined,26.85,26.85,0,26.85,26.85,,,
2023-03-24,29.25,29.25,8,29.25,29.25,29.18,2,27.1,27.1,8,27.1,27.1,27.04,,
2023-03-27,29.38,29.44,531,29.44,29.38,29.38,1,27.22,27.28,531,27.28,27.22,27.22,,
2023-03-28,29.31,29.48,656,29.48,29.31,29.31,1,27.16,27.31,656,27.31,27.16,27.16,,
2023-03-29,29.59,29.67,695,29.67,29.59,29.61,3,27.42,27.49,695,27.49,27.42,27.43,,
2023-03-30,29.7,29.62,101,29.7,29.62,29.7,2,27.52,27.44,101,27.52,27.44,27.52,,
2023-03-31,29.93,29.93,40,29.93,29.93,29.85,1,27.73,27.73,40,27.73,27.73,27.66,,
