Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,130.53,136.32,4342,136.4,130.53,133.24,88,24.25,25.33,21710,25.34,24.25,24.76,,
2023-03-02,134.09,134.33,2760,136.39,133.83,135.18,107,24.91,24.96,13800,25.34,24.87,25.12,,
2023-03-03,139.75,144.46,5219,145.01,139.75,143.8,170,25.97,26.84,26095,26.94,25.97,26.72,,
2023-03-06,145.87,141.83,1867,145.87,141.83,143.07,89,27.1,26.35,9335,27.1,26.35,26.58,,
2023-03-07,143.3,132,7906,143.3,131.9,136.84,156,26.63,24.53,39530,26.63,24.51,25.43,,
2023-03-08,136.23,137.95,3173,138.08,136.23,137.08,102,25.31,25.63,15865,25.66,25.31,25.47,,
2023-03-09,138.49,131.05,1762,138.49,131.05,136.57,77,25.73,24.35,8810,25.73,24.35,25.38,,
2023-03-10,127.36,122.14,6537,127.36,121.01,123.86,133,23.66,22.69,32685,23.66,22.48,23.01,,
2023-03-13,112.9,112.28,6182,114.72,111.8,113.76,204,20.98,20.86,30910,21.32,20.77,21.14,,
2023-03-14,116.16,118.21,1411,119.55,116.16,118.37,64,21.58,21.96,7055,22.21,21.58,21.99,,
2023-03-15,110.22,107.08,3515,110.22,106.6,108.27,154,20.48,19.9,17575,20.48,19.81,20.12,,
2023-03-16,105.63,113.84,1664,113.85,105.63,111.47,67,19.63,21.15,8320,21.15,19.63,20.71,,
2023-03-17,105.6,105.66,1604,105.66,105.6,106.57,57,19.62,19.63,8020,19.63,19.62,19.8,,
2023-03-20,104.59,108.85,1426,109.55,104.59,108.84,75,19.43,20.22,7130,20.35,19.43,20.22,,
2023-03-21,112.69,114.58,1835,114.58,112.4,113.85,48,21.03,21.38,9175,21.38,20.98,21.25,0.47636,
2023-03-22,115.82,114.95,1793,119.62,114.95,116.77,69,21.61,21.45,8965,22.32,21.45,21.79,,
2023-03-23,119.79,116.78,1915,119.79,115.49,116.72,59,22.36,21.79,9575,22.36,21.55,21.78,,
2023-03-24,114.66,118.96,993,119.69,114.66,117.09,60,21.4,22.2,4965,22.34,21.4,21.85,,
2023-03-27,121.55,122.2,2554,122.54,121.05,121.93,71,22.68,22.81,12770,22.87,22.59,22.75,,
2023-03-28,127.4,127.4,856,127.4,127.4,127.82,51,23.78,23.78,4280,23.78,23.78,23.85,,
2023-03-29,132.2,134.16,1090,134.16,132.2,132.57,62,24.67,25.04,5450,25.04,24.67,24.74,,
2023-03-30,134.86,135.47,2601,137.38,134.37,135.57,90,25.17,25.28,13005,25.64,25.08,25.3,,
2023-03-31,138.17,135.18,1621,138.17,134.6,136.18,61,25.79,25.23,8105,25.79,25.12,25.41,,
