Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.01,17.99,16697,18.04,17.96,17.99,58,16.06,16.05,16697,16.09,16.02,16.05,,
2023-03-02,17.97,18.06,10876,18.09,17.96,18.06,74,16.03,16.11,10876,16.14,16.02,16.11,,
2023-03-03,18.17,18.28,4024,18.29,18.17,18.24,45,16.21,16.3,4024,16.31,16.21,16.27,,
2023-03-06,18.3,18.28,10723,18.36,18.24,18.29,87,16.32,16.3,10723,16.38,16.27,16.31,,
2023-03-07,18.28,18.11,13921,18.28,18.07,18.18,133,16.3,16.15,13921,16.3,16.12,16.22,,
2023-03-08,18.13,18.21,5709,18.23,18.13,18.18,78,16.17,16.24,5709,16.26,16.17,16.22,,
2023-03-09,18.03,17.87,1993,18.06,17.87,18.01,42,16.08,15.94,1993,16.11,15.94,16.06,,
2023-03-10,17.94,17.84,7325,17.96,17.8,17.85,54,16,15.91,7325,16.02,15.88,15.92,,
2023-03-13,17.83,17.84,6670,17.9,17.83,17.88,112,15.9,15.91,6670,15.97,15.9,15.95,,
2023-03-14,17.73,17.76,6032,17.8,17.7,17.74,117,15.81,15.84,6032,15.88,15.79,15.82,,
2023-03-15,17.49,17.5,2451,17.53,17.41,17.44,66,15.6,15.61,2451,15.64,15.53,15.56,,
2023-03-16,17.52,17.74,28995,17.77,17.52,17.68,137,15.63,15.82,28995,15.85,15.63,15.77,,
2023-03-17,17.76,17.65,3240,17.76,17.63,17.68,47,15.84,15.74,3240,15.84,15.73,15.77,,
2023-03-20,17.48,17.61,4744,17.67,17.48,17.63,49,15.59,15.71,4744,15.76,15.59,15.73,,
2023-03-21,17.79,17.75,7749,17.79,17.69,17.73,42,15.87,15.83,7749,15.87,15.78,15.81,,
2023-03-22,17.8,17.78,25063,17.98,17.78,17.9,83,15.88,15.86,25063,16.04,15.86,15.97,,
2023-03-23,18.03,17.93,3345,18.1,17.88,17.99,37,16.08,15.99,3345,16.14,15.95,16.05,,
2023-03-24,17.69,17.81,6618,17.82,17.69,17.78,40,15.78,15.89,6618,15.89,15.78,15.86,,
2023-03-27,17.72,17.79,3966,17.79,17.71,17.73,40,15.81,15.87,3966,15.87,15.8,15.81,,
2023-03-28,17.86,17.92,24319,17.95,17.86,17.87,48,15.93,15.98,24319,16.01,15.93,15.94,,
2023-03-29,17.95,17.99,5495,18.01,17.94,17.96,49,16.01,16.05,5495,16.06,16,16.02,,
2023-03-30,18.13,18.17,7506,18.18,18.1,18.14,54,16.17,16.21,7506,16.22,16.14,16.18,,
2023-03-31,18.17,18.13,19483,18.27,18.09,18.18,65,16.21,16.17,19483,16.3,16.14,16.22,,
