Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,30.8,30.8,0,30.8,30.8,,undefined,29.27,29.27,0,29.27,29.27,,,
2023-03-02,30.75,30.97,153,30.97,30.75,30.75,2,29.23,29.44,153,29.44,29.23,29.23,,
2023-03-03,31.34,31.34,0,31.34,31.34,,undefined,29.79,29.79,0,29.79,29.79,,,
2023-03-06,31.55,31.36,103,31.55,31.36,31.55,1,29.99,29.81,103,29.99,29.81,29.99,,
2023-03-07,31.01,31.01,0,31.01,31.01,,undefined,29.47,29.47,0,29.47,29.47,,,
2023-03-08,30.98,31.04,2500,31.04,30.98,30.98,1,29.45,29.5,2500,29.5,29.45,29.45,,
2023-03-09,30.61,30.61,0,30.61,30.61,,undefined,29.09,29.09,0,29.09,29.09,,,
2023-03-10,30.27,30.27,64,30.27,30.27,30.67,1,28.77,28.77,64,28.77,28.77,29.15,,
2023-03-13,30.24,30.24,80,30.24,30.24,29.96,1,28.74,28.74,80,28.74,28.74,28.48,,
2023-03-14,30.59,30.59,0,30.59,30.59,,undefined,29.07,29.07,0,29.07,29.07,,,
2023-03-15,30.4,30.4,0,30.4,30.4,,undefined,28.89,28.89,0,28.89,28.89,,,
2023-03-16,30.85,30.85,0,30.85,30.85,,undefined,29.32,29.32,0,29.32,29.32,,,
2023-03-17,30.58,30.58,0,30.58,30.58,,undefined,29.07,29.07,0,29.07,29.07,,,
2023-03-20,30.78,30.78,75,30.78,30.78,30.7,1,29.26,29.26,75,29.26,29.26,29.18,,
2023-03-21,31,31.1,538,31.1,31,31,1,29.46,29.56,538,29.56,29.46,29.46,,
2023-03-22,30.8,30.8,10,30.8,30.8,31.09,1,29.27,29.27,10,29.27,29.27,29.55,,
2023-03-23,30.84,30.84,0,30.84,30.84,,undefined,29.31,29.31,0,29.31,29.31,,,
2023-03-24,30.93,30.93,0,30.93,30.93,,undefined,29.4,29.4,0,29.4,29.4,,,
2023-03-27,30.99,30.99,0,30.99,30.99,,undefined,29.45,29.45,0,29.45,29.45,,,
2023-03-28,30.95,30.95,0,30.95,30.95,,undefined,29.42,29.42,0,29.42,29.42,,,
2023-03-29,31.27,31.27,0,31.27,31.27,,undefined,29.72,29.72,0,29.72,29.72,,,
2023-03-30,31.38,31.38,0,31.38,31.38,,undefined,29.83,29.83,0,29.83,29.83,,,
2023-03-31,31.69,31.69,0,31.69,31.69,,undefined,30.12,30.12,0,30.12,30.12,,,
