Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,28.34,28.34,214,28.34,28.34,28.32,4,27.02,27.02,214,27.02,27.02,27,,
2023-03-02,28.26,28.42,258,28.42,28.26,28.26,4,26.94,27.1,258,27.1,26.94,26.94,,
2023-03-03,28.72,28.72,0,28.72,28.72,,NaN,27.38,27.38,0,27.38,27.38,,,
2023-03-06,28.72,28.69,354,28.72,28.69,28.73,14,27.38,27.35,354,27.38,27.35,27.39,,
2023-03-07,28.4,28.4,141,28.4,28.4,28.39,4,27.08,27.08,141,27.08,27.08,27.07,,
2023-03-08,28.43,28.43,2,28.43,28.43,28.42,2,27.11,27.11,2,27.11,27.11,27.1,,
2023-03-09,28.16,28.16,0,28.16,28.16,,NaN,26.85,26.85,0,26.85,26.85,,,
2023-03-10,28.02,27.99,327,28.02,27.99,28.01,7,26.72,26.69,327,26.72,26.69,26.71,,
2023-03-13,27.96,27.96,7,27.96,27.96,28.04,6,26.66,26.66,7,26.66,26.66,26.74,,
2023-03-14,28.15,28.15,34,28.15,28.15,28.2,2,26.84,26.84,34,26.84,26.84,26.89,,
2023-03-15,27.96,27.96,10,27.96,27.96,27.85,2,26.66,26.66,10,26.66,26.66,26.55,,
2023-03-16,28.22,28.22,32,28.22,28.22,27.89,3,26.91,26.91,32,26.91,26.91,26.59,,
2023-03-17,28.1,28.06,1106,28.16,28.03,28.08,10,26.79,26.75,1106,26.85,26.73,26.77,,
2023-03-20,28.12,28.23,501,28.23,28.12,28.12,2,26.81,26.92,501,26.92,26.81,26.81,,
2023-03-21,28.34,28.41,139,28.41,28.34,28.33,6,27.02,27.09,139,27.09,27.02,27.01,,
2023-03-22,28.22,28.22,0,28.22,28.22,,NaN,26.91,26.91,0,26.91,26.91,,,
2023-03-23,28.39,28.26,1613,28.48,28.26,28.43,8,27.07,26.94,1613,27.15,26.94,27.11,,
2023-03-24,28.39,28.32,220,28.39,28.32,28.39,2,27.07,27,220,27.07,27,27.07,,
2023-03-27,28.42,28.35,2001,28.42,28.35,28.41,24,27.1,27.03,2001,27.1,27.03,27.09,,
2023-03-28,28.35,28.35,15,28.35,28.35,28.41,1,27.03,27.03,15,27.03,27.03,27.09,,
2023-03-29,28.41,28.41,0,28.41,28.41,,NaN,27.25,27.25,0,27.25,27.25,,0.16999798,
2023-03-30,28.58,28.54,1228,28.59,28.54,28.57,33,27.41,27.38,1228,27.42,27.38,27.4,,
2023-03-31,28.63,28.78,24639,28.78,28.58,28.69,206,27.46,27.61,24639,27.61,27.41,27.52,,
