Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,41.35,41.35,10,41.35,41.35,41.37,1,37.36,37.36,10,37.36,37.36,37.38,0.1215,
2023-03-02,41.21,41.21,10,41.21,41.21,41.19,1,37.23,37.23,10,37.23,37.23,37.21,,
2023-03-03,41.55,41.55,11,41.55,41.55,41.52,2,37.54,37.54,11,37.54,37.54,37.51,,
2023-03-06,41.43,41.43,0,41.43,41.43,,NaN,37.43,37.43,0,37.43,37.43,,,
2023-03-07,41.38,41.38,11,41.38,41.38,41.42,2,37.39,37.39,11,37.39,37.39,37.42,,
2023-03-08,41.33,41.33,14,41.33,41.33,41.45,5,37.34,37.34,14,37.34,37.34,37.45,,
2023-03-09,41.5,41.5,11,41.5,41.5,41.38,2,37.49,37.49,11,37.49,37.49,37.39,,
2023-03-10,42,42,20,42,42,41.91,2,37.95,37.95,20,37.95,37.95,37.86,,
2023-03-13,42.29,42.29,10,42.29,42.29,42.34,1,38.21,38.21,10,38.21,38.21,38.25,,
2023-03-14,41.99,41.99,6,41.99,41.99,41.97,2,37.94,37.94,6,37.94,37.94,37.92,,
2023-03-15,42.43,42.43,124,42.43,42.43,42.43,3,38.33,38.33,124,38.33,38.33,38.33,,
2023-03-16,42.2,42.2,3,42.2,42.2,42.47,3,38.13,38.13,3,38.13,38.13,38.37,,
2023-03-17,42.57,42.57,0,42.57,42.57,,NaN,38.46,38.46,0,38.46,38.46,,,
2023-03-20,42.35,42.3,6003,42.35,42.27,42.34,61,38.26,38.22,6003,38.26,38.19,38.25,,
2023-03-21,42.2,42.2,0,42.2,42.2,,NaN,38.13,38.13,0,38.13,38.13,,,
2023-03-22,42.21,42.62,21208,42.62,41.94,42.09,131,38.14,38.51,21208,38.51,37.89,38.03,,
2023-03-23,42.63,42.63,0,42.63,42.63,,NaN,38.52,38.52,0,38.52,38.52,,,
2023-03-24,42.71,42.72,7704,42.72,42.7,42.71,67,38.59,38.6,7704,38.6,38.58,38.59,,
2023-03-27,42.32,42.32,0,42.32,42.32,,NaN,38.24,38.24,0,38.24,38.24,,,
2023-03-28,42.24,42.24,0,42.24,42.24,,NaN,38.16,38.16,0,38.16,38.16,,,
2023-03-29,42.27,42.27,0,42.27,42.27,,NaN,38.19,38.19,0,38.19,38.19,,,
2023-03-30,42.33,42.33,3,42.33,42.33,42.27,3,38.24,38.24,3,38.24,38.24,38.19,,
2023-03-31,42.57,42.57,0,42.57,42.57,,NaN,38.46,38.46,0,38.46,38.46,,,
