Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,29.7,29.52,4324,29.75,29.52,29.6,15,23.23,23.09,4324,23.27,23.09,23.15,,
2023-03-02,29.64,29.68,941,29.68,29.54,29.63,4,23.19,23.22,941,23.22,23.11,23.18,,
2023-03-03,29.89,29.91,1716,29.91,29.84,29.87,21,23.38,23.4,1716,23.4,23.34,23.37,,
2023-03-06,30.13,30.03,1917,30.13,30.03,30.09,14,23.57,23.49,1917,23.57,23.49,23.54,,
2023-03-07,29.55,29.59,322,29.59,29.55,29.57,11,23.11,23.15,322,23.15,23.11,23.13,,
2023-03-08,29.5,29.56,2447,29.56,29.5,29.5,7,23.08,23.12,2447,23.12,23.08,23.08,,
2023-03-09,29.41,28.47,8032,29.41,28.46,28.97,38,23.01,22.27,8032,23.01,22.26,22.66,,
2023-03-10,28.31,27.08,33584,28.31,27.08,27.53,77,22.14,21.18,33584,22.14,21.18,21.53,,
2023-03-13,27.2,26.87,1685,27.27,26.87,27.09,21,21.28,21.02,1685,21.33,21.02,21.19,,
2023-03-14,27.92,27.51,1214,27.92,27.48,27.68,7,21.84,21.52,1214,21.84,21.5,21.65,,
2023-03-15,27.04,27.09,3470,27.09,26.82,26.92,18,21.15,21.19,3470,21.19,20.98,21.06,,
2023-03-16,27.58,27.58,6460,27.59,27.55,27.57,25,21.57,21.57,6460,21.58,21.55,21.57,,
2023-03-17,27.47,27,2305,27.47,27,27.09,51,21.49,21.12,2305,21.49,21.12,21.19,,
2023-03-20,27.34,27.23,2547,27.34,27.22,27.25,11,21.39,21.3,2547,21.39,21.29,21.32,,
2023-03-21,27.95,27.88,2211,28.01,27.88,27.98,12,21.86,21.81,2211,21.91,21.81,21.89,,
2023-03-22,27.98,27.47,3557,27.98,27.47,27.87,14,21.89,21.49,3557,21.89,21.49,21.8,,
2023-03-23,27.56,27.35,464,27.56,27.35,27.56,120,21.56,21.39,464,21.56,21.39,21.56,,
2023-03-24,27.13,27.63,4909,27.63,27.05,27.19,15,21.22,21.61,4909,21.61,21.16,21.27,,
2023-03-27,28.01,27.94,2981,28.01,27.94,27.97,38,21.91,21.86,2981,21.91,21.86,21.88,,
2023-03-28,27.94,27.9,1553,27.96,27.88,27.91,9,21.86,21.82,1553,21.87,21.81,21.83,,
2023-03-29,28.07,28.14,2563,28.14,28.02,28.07,16,21.96,22.01,2563,22.01,21.92,21.96,,
2023-03-30,28.16,28.24,858,28.28,28.16,28.21,7,22.03,22.09,858,22.12,22.03,22.07,,
2023-03-31,28.46,28.46,810,28.46,28.46,28.49,19,22.26,22.26,810,22.26,22.26,22.29,,
