Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.44,24.49,4001,24.49,24.44,24.46,25,21.22,21.26,4001,21.26,21.22,21.24,,
2023-03-02,24.56,24.56,0,24.56,24.56,,undefined,21.32,21.32,0,21.32,21.32,,,
2023-03-03,24.83,24.85,1599,24.87,24.83,24.84,6,21.56,21.58,1599,21.59,21.56,21.57,,
2023-03-06,24.9,24.86,1701,24.9,24.86,24.89,7,21.62,21.58,1701,21.62,21.58,21.61,,
2023-03-07,24.64,24.61,1001,24.64,24.61,24.64,2,21.39,21.37,1001,21.39,21.37,21.39,,
2023-03-08,24.62,24.61,3100,24.62,24.58,24.59,22,21.38,21.37,3100,21.38,21.34,21.35,,
2023-03-09,24.47,24.33,401,24.47,24.32,24.39,5,21.25,21.12,401,21.25,21.11,21.18,,
2023-03-10,24.24,24.18,1201,24.33,24.18,24.26,9,21.05,20.99,1201,21.12,20.99,21.06,,
2023-03-13,24.24,24.28,579,24.28,24.24,24.24,5,21.05,21.08,579,21.08,21.05,21.05,,
2023-03-14,24.44,24.42,1429,24.44,24.35,24.4,12,21.22,21.2,1429,21.22,21.14,21.18,,
2023-03-15,24.57,24.41,2874,25.67,24.3,24.5,19,21.33,21.19,2874,22.29,21.1,21.27,,
2023-03-16,24.43,24.67,399,24.72,24.43,24.52,2,21.21,21.42,399,21.46,21.21,21.29,,
2023-03-17,24.67,24.49,589,24.67,24.49,24.58,5,21.42,21.26,589,21.42,21.26,21.34,,
2023-03-20,24.64,24.64,0,24.64,24.64,,undefined,21.39,21.39,0,21.39,21.39,,,
2023-03-21,24.76,24.76,99,24.76,24.76,24.75,1,21.5,21.5,99,21.5,21.5,21.49,,
2023-03-22,24.53,24.53,0,24.53,24.53,,undefined,21.3,21.3,0,21.3,21.3,,,
2023-03-23,24.68,24.55,500,24.68,24.55,24.68,1,21.43,21.31,500,21.43,21.31,21.43,,
2023-03-24,24.62,24.67,1001,24.67,24.62,24.62,1,21.38,21.42,1001,21.42,21.38,21.38,,
2023-03-27,24.74,24.67,1001,24.74,24.67,24.74,2,21.48,21.42,1001,21.48,21.42,21.48,,
2023-03-28,24.7,24.63,700,24.7,24.63,24.67,4,21.44,21.38,700,21.44,21.38,21.42,,
2023-03-29,24.86,24.86,0,24.86,24.86,,undefined,21.58,21.58,0,21.58,21.58,,,
2023-03-30,24.91,24.91,1003,24.91,24.91,24.91,4,21.63,21.63,1003,21.63,21.63,21.63,,
2023-03-31,25.08,25.13,1201,25.13,25.06,25.07,4,21.77,21.82,1201,21.82,21.76,21.77,,
