Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.92,21.83,44718,22.01,21.83,21.89,181,18.39,18.31,44718,18.46,18.31,18.36,,
2023-03-02,21.85,21.85,26503,21.85,21.73,21.79,96,18.33,18.33,26503,18.33,18.23,18.28,,
2023-03-03,21.86,21.96,63039,21.99,21.86,21.97,178,18.34,18.42,63039,18.45,18.34,18.43,,
2023-03-06,21.92,21.98,42772,22.02,21.92,21.98,168,18.39,18.44,42772,18.47,18.39,18.44,,
2023-03-07,21.92,21.88,30149,21.99,21.85,21.9,154,18.39,18.35,30149,18.45,18.33,18.37,,
2023-03-08,21.91,21.85,37995,21.96,21.8,21.84,106,18.38,18.33,37995,18.42,18.29,18.32,,
2023-03-09,21.81,21.47,35759,21.88,21.47,21.6,137,18.3,18.01,35759,18.35,18.01,18.12,,
2023-03-10,21.79,21.21,34339,21.79,21.12,21.22,104,18.28,17.79,34339,18.28,17.72,17.8,,
2023-03-13,20.65,20.42,56473,20.69,20.31,20.53,87,17.32,17.13,56473,17.36,17.04,17.22,,
2023-03-14,20.81,20.92,23880,21.06,20.52,20.95,75,17.46,17.55,23880,17.67,17.21,17.57,,
2023-03-15,20.57,20.54,99916,20.75,20.4,20.59,195,17.26,17.23,99916,17.41,17.11,17.27,,
2023-03-16,20.48,20.95,42423,20.96,20.37,20.81,195,17.18,17.57,42423,17.58,17.09,17.46,,
2023-03-17,21.04,20.51,20120,21.04,20.45,20.58,152,17.65,17.2,20120,17.65,17.15,17.26,,
2023-03-20,20.57,20.32,53086,20.75,20.32,20.46,213,17.26,17.05,53086,17.41,17.05,17.16,,
2023-03-21,20.56,20.57,237192,20.71,20.49,20.6,488,17.25,17.26,237192,17.37,17.19,17.28,,
2023-03-22,20.71,20.55,52010,20.71,20.52,20.58,186,17.37,17.24,52010,17.37,17.21,17.26,,
2023-03-23,20.69,20.32,55157,20.83,20.32,20.55,177,17.36,17.05,55157,17.47,17.05,17.24,,
2023-03-24,20.43,20.46,36303,20.48,20.29,20.38,170,17.14,17.16,36303,17.18,17.02,17.1,,
2023-03-27,20.48,20.49,28835,20.77,20.48,20.62,153,17.18,17.19,28835,17.42,17.18,17.3,,
2023-03-28,20.61,20.68,40952,20.7,20.55,20.63,162,17.29,17.35,40952,17.36,17.24,17.31,,
2023-03-29,20.61,20.76,43612,20.82,20.61,20.75,166,17.37,17.5,43612,17.55,17.37,17.49,0.1,
2023-03-30,20.9,20.88,32605,20.9,20.74,20.83,127,17.62,17.6,32605,17.62,17.48,17.56,,
2023-03-31,20.93,21.07,33410,21.07,20.9,20.97,137,17.64,17.76,33410,17.76,17.62,17.68,,
