Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,67.37,67.28,112491,67.55,67.07,67.17,302,62.29,62.21,112491,62.46,62.01,62.1,,
2023-03-02,66.9,67.41,30661,67.51,66.9,67.23,277,61.85,62.33,30661,62.42,61.85,62.16,,
2023-03-03,67.74,68.28,40748,68.38,67.69,68.14,386,62.63,63.13,40748,63.22,62.59,63,,
2023-03-06,68.07,68.07,44798,68.37,68.04,68.18,399,62.94,62.94,44798,63.21,62.91,63.04,,
2023-03-07,67.99,67.08,93740,68.06,66.92,67.15,604,62.86,62.02,93740,62.93,61.87,62.09,,
2023-03-08,67.14,67.33,42838,67.48,67.13,67.26,519,62.08,62.25,42838,62.39,62.07,62.19,,
2023-03-09,67.58,66.94,38903,67.66,66.77,67.29,441,62.48,61.89,38903,62.56,61.73,62.22,,
2023-03-10,67.06,66.44,105352,67.2,66.33,66.52,704,62,61.43,105352,62.13,61.33,61.5,,
2023-03-13,65.86,66.1,73756,66.55,65.86,66.35,245,60.89,61.11,73756,61.53,60.89,61.35,,
2023-03-14,66.69,66.85,64593,66.86,66.39,66.63,518,61.66,61.81,64593,61.82,61.38,61.61,,
2023-03-15,64.7,65.18,39975,65.19,64.41,64.78,249,59.82,60.26,39975,60.27,59.55,59.89,,
2023-03-16,64.93,66.09,56561,66.12,64.93,65.94,368,60.03,61.11,56561,61.13,60.03,60.97,,
2023-03-17,65.6,65.46,42749,65.69,65.2,65.48,360,60.65,60.52,42749,60.74,60.28,60.54,,
2023-03-20,66.21,66.46,38778,66.59,66.14,66.47,178,61.22,61.45,38778,61.57,61.15,61.46,,
2023-03-21,67.22,67.21,56744,67.31,67,67.11,357,62.15,62.14,56744,62.23,61.95,62.05,,
2023-03-22,67.35,67.13,24742,68.06,67.13,67.5,220,62.27,62.07,24742,62.93,62.07,62.41,,
2023-03-23,67.56,67.27,46601,68.06,66.92,67.46,357,62.46,62.2,46601,62.93,61.87,62.37,,
2023-03-24,66.81,67.08,18755,67.15,66.58,66.91,198,61.77,62.02,18755,62.09,61.56,61.86,,
2023-03-27,67.52,67.69,12330,67.72,67.3,67.57,166,62.43,62.59,12330,62.61,62.22,62.47,,
2023-03-28,67.69,67.74,20166,67.81,67.55,67.7,167,62.59,62.63,20166,62.7,62.46,62.59,,
2023-03-29,68.26,68.39,29214,68.47,68.18,68.35,261,63.11,63.23,29214,63.31,63.04,63.2,,
2023-03-30,68.99,69.03,27848,69.17,68.92,69.05,151,63.79,63.82,27848,63.95,63.72,63.84,,
2023-03-31,69.21,69.35,44691,69.52,69.21,69.44,203,63.99,64.12,44691,64.28,63.99,64.2,,
