Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,46.27,46.15,139395,46.29,46.1,46.16,818,41.87,41.76,139395,41.89,41.72,41.77,0.126025,
2023-03-02,45.98,46.1,108737,46.14,45.93,46.05,1056,41.61,41.72,108737,41.75,41.56,41.67,,
2023-03-03,46.4,46.56,104146,46.68,46.31,46.45,602,41.99,42.14,104146,42.24,41.91,42.04,,
2023-03-06,46.68,46.43,40330,46.68,46.41,46.55,395,42.24,42.02,40330,42.24,42,42.13,,
2023-03-07,46.51,46.33,58287,46.51,46.27,46.4,539,42.09,41.93,58287,42.09,41.87,41.99,,
2023-03-08,46.47,46.24,74354,46.52,46.16,46.3,440,42.05,41.85,74354,42.1,41.77,41.9,,
2023-03-09,46.3,46.27,58897,46.42,46.22,46.33,462,41.9,41.87,58897,42.01,41.83,41.93,,
2023-03-10,46.76,46.89,187206,46.97,46.68,46.82,746,42.32,42.43,187206,42.51,42.24,42.37,,
2023-03-13,47.06,46.97,145273,47.49,46.85,47.18,3669,42.59,42.51,145273,42.98,42.4,42.7,,
2023-03-14,47.07,46.84,144137,47.14,46.67,46.88,741,42.6,42.39,144137,42.66,42.23,42.42,,
2023-03-15,46.99,47.2,185852,47.31,46.92,47.12,1353,42.52,42.71,185852,42.81,42.46,42.64,,
2023-03-16,47.29,47.07,86313,47.37,46.96,47.15,798,42.8,42.6,86313,42.87,42.5,42.67,,
2023-03-17,47.3,47.34,66958,47.47,47.24,47.4,473,42.8,42.84,66958,42.96,42.75,42.9,,
2023-03-20,47.31,47.21,396550,47.39,47.13,47.19,1237,42.81,42.72,396550,42.89,42.65,42.71,,
2023-03-21,47.27,47.33,48519,47.34,47.2,47.27,214,42.78,42.83,48519,42.84,42.71,42.78,,
2023-03-22,47.31,47.57,234960,47.84,47.18,47.34,1912,42.81,43.05,234960,43.29,42.7,42.84,,
2023-03-23,47.55,47.69,157081,47.71,47.43,47.6,903,43.03,43.16,157081,43.18,42.92,43.08,,
2023-03-24,47.75,47.86,24237,47.88,47.74,47.81,193,43.21,43.31,24237,43.33,43.2,43.27,,
2023-03-27,47.48,47.3,139853,47.59,47.28,47.37,1114,42.97,42.8,139853,43.07,42.79,42.87,,
2023-03-28,47.3,47.23,205118,47.3,47.15,47.22,1563,42.8,42.74,205118,42.8,42.67,42.73,,
2023-03-29,47.19,47.41,684801,47.42,47.14,47.25,2186,42.71,42.9,684801,42.91,42.66,42.76,,
2023-03-30,47.41,47.47,181184,47.54,47.4,47.49,1336,42.9,42.96,181184,43.02,42.9,42.98,,
2023-03-31,47.64,47.86,154208,47.87,47.56,47.74,941,43.11,43.31,154208,43.32,43.04,43.2,,
