Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,23.64,23.66,100,23.66,23.64,23.64,1,23.51,23.53,100,23.53,23.51,23.51,,
2023-03-06,23.81,23.74,400,23.81,23.74,23.81,1,23.68,23.61,400,23.68,23.61,23.68,,
2023-03-08,23.44,23.44,1,23.44,23.44,23.49,1,23.32,23.32,1,23.32,23.32,23.37,,
2023-03-10,22.9,22.9,1,22.9,22.9,22.9,1,22.78,22.78,1,22.78,22.78,22.78,,
2023-03-13,22.87,22.99,750,22.99,22.87,22.87,2,22.75,22.87,750,22.87,22.75,22.75,,
2023-03-14,22.99,22.99,2,22.99,22.99,22.98,1,22.87,22.87,2,22.87,22.87,22.86,,
2023-03-15,22.43,22.56,3438,22.56,22.43,22.47,7,22.31,22.44,3438,22.44,22.31,22.35,,
2023-03-16,22.58,22.87,1209,22.87,22.51,22.56,7,22.46,22.75,1209,22.75,22.39,22.44,,
2023-03-17,22.91,22.74,400,22.91,22.74,22.91,1,22.79,22.62,400,22.79,22.62,22.79,,
2023-03-21,22.94,22.94,79,22.94,22.94,22.95,1,22.94,22.94,79,22.94,22.94,22.95,,
2023-03-22,23,23,11,23,23,23.13,1,23,23,11,23,23,23.13,,
2023-03-24,23.03,23.2,1559,23.2,23.03,23.03,3,23.03,23.2,1559,23.2,23.03,23.03,,
2023-03-27,23.1,23.1,1,23.1,23.1,23.1,1,23.1,23.1,1,23.1,23.1,23.1,,
2023-03-28,23.26,23.31,421,23.31,23.26,23.26,2,23.26,23.31,421,23.31,23.26,23.26,,
2023-03-31,23.6,23.6,5,23.6,23.6,23.58,1,23.6,23.6,5,23.6,23.6,23.58,,
