Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.95,22.9,1425476,23.06,22.78,22.94,2713,20.39,20.34,1425476,20.48,20.23,20.38,,
2023-03-02,23.12,22.86,4596916,23.19,22.81,23.05,3723,20.54,20.31,4596916,20.6,20.26,20.47,,
2023-03-03,22.77,22.55,1198675,22.93,22.51,22.68,2768,20.23,20.03,1198675,20.37,19.99,20.15,,
2023-03-06,22.55,22.89,3215669,22.99,22.55,22.85,3674,20.03,20.33,3215669,20.42,20.03,20.3,,
2023-03-07,22.91,23.16,2112224,23.2,22.86,23.06,3953,20.35,20.57,2112224,20.61,20.31,20.48,,
2023-03-08,23.14,23.15,1420451,23.34,23.04,23.2,3158,20.55,20.56,1420451,20.73,20.47,20.61,,
2023-03-09,23.15,23.81,2720610,23.83,23.09,23.51,4426,20.56,21.15,2720610,21.17,20.51,20.88,,
2023-03-10,23.98,24.53,9129954,24.77,23.96,24.36,12792,21.3,21.79,9129954,22,21.28,21.64,,
2023-03-13,25.02,24.92,7856833,25.23,24.5,24.82,19623,22.22,22.14,7856833,22.41,21.76,22.05,,
2023-03-14,24.16,24.45,4365074,24.73,24.07,24.33,8863,21.46,21.72,4365074,21.97,21.38,21.61,,
2023-03-15,25.11,24.87,5177912,25.32,24.85,25.04,12230,22.3,22.09,5177912,22.49,22.07,22.24,,
2023-03-16,25.2,24.53,4187145,25.33,24.35,24.75,9883,22.38,21.79,4187145,22.5,21.63,21.98,,
2023-03-17,24.82,25.19,2594560,25.27,24.73,25.1,7148,22.05,22.37,2594560,22.45,21.97,22.29,,
2023-03-20,24.99,24.9,2198939,25.03,24.63,24.86,5625,22.2,22.12,2198939,22.23,21.88,22.08,,
2023-03-21,24.44,24.43,2171918,24.55,24.24,24.45,5220,21.71,21.7,2171918,21.81,21.53,21.72,,
2023-03-22,24.31,25,2897490,25,24.21,24.5,6372,21.72,22.34,2897490,22.34,21.63,21.89,0.146597,
2023-03-23,24.83,25.11,3495008,25.33,24.51,24.98,6452,22.19,22.44,3495008,22.64,21.9,22.32,,
2023-03-24,25.35,24.89,2935994,25.53,24.86,25.18,6741,22.65,22.24,2935994,22.81,22.22,22.5,,
2023-03-27,24.6,24.63,2085393,24.81,24.49,24.66,4159,21.98,22.01,2085393,22.17,21.88,22.04,,
2023-03-28,24.72,24.66,1344830,24.77,24.52,24.67,3320,22.09,22.04,1344830,22.13,21.91,22.05,,
2023-03-29,24.41,24.4,1852587,24.6,24.38,24.47,3453,21.81,21.8,1852587,21.98,21.79,21.87,,
2023-03-30,24.2,24.43,2088904,24.54,24.15,24.38,4631,21.63,21.83,2088904,21.93,21.58,21.79,,
2023-03-31,24.27,23.98,1701038,24.28,23.97,24.08,3974,21.69,21.43,1701038,21.7,21.42,21.52,,
