Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,46.9,46.8,1467880,47.03,46.64,46.82,5169,15.11,15.08,4403640,15.15,15.03,15.09,,
2023-03-02,46.54,47.15,1899454,47.25,46.49,46.9,6105,15,15.19,5698362,15.22,14.98,15.11,,
2023-03-03,47.35,47.92,1055106,47.95,47.31,47.68,5964,15.26,15.44,3165318,15.45,15.24,15.36,,
2023-03-06,48.01,47.92,1107234,48.29,47.86,48.06,5635,15.47,15.44,3321702,15.56,15.42,15.48,,
2023-03-07,47.93,47.21,1336794,47.95,47.12,47.38,7422,15.44,15.21,4010382,15.45,15.18,15.27,,
2023-03-08,47.21,47.27,1569822,47.36,46.99,47.15,5754,15.21,15.23,4709466,15.26,15.14,15.19,,
2023-03-09,47.31,46.36,1285192,47.54,46.24,46.9,5819,15.24,14.94,3855576,15.32,14.9,15.11,,
2023-03-10,46.31,45.65,2575450,46.51,45.45,45.92,10128,14.92,14.71,7726350,14.99,14.64,14.8,,
2023-03-13,45.13,45.56,2362070,46.14,44.97,45.72,11511,14.54,14.68,7086210,14.87,14.49,14.73,,
2023-03-14,46.19,46.3,1186990,46.53,45.77,46.24,4757,14.88,14.92,3560970,14.99,14.75,14.9,,
2023-03-15,45.54,46,2657904,46.02,45.35,45.71,11045,14.67,14.82,7973712,14.83,14.61,14.73,,
2023-03-16,45.77,46.79,2321075,46.85,45.67,46.44,7829,14.75,15.08,6963225,15.1,14.71,14.96,,
2023-03-17,46.7,46.27,1326584,46.77,46.08,46.3,5677,15.05,14.91,3979752,15.07,14.85,14.92,,
2023-03-20,46.35,46.67,1644395,46.74,46.27,46.55,5553,14.93,15.04,4933185,15.06,14.91,15,,
2023-03-21,47.08,47.3,1153133,47.39,46.95,47.13,4996,15.17,15.24,3459399,15.27,15.13,15.19,,
2023-03-22,47.12,46.33,1436899,47.55,46.32,46.86,6104,15.24,14.98,4310697,15.38,14.98,15.16,0.1798,
2023-03-23,46.67,46.43,1116510,47.17,46.1,46.65,6140,15.09,15.02,3349530,15.26,14.91,15.09,,
2023-03-24,46.24,46.69,1745182,46.72,45.97,46.42,5723,14.96,15.1,5235546,15.11,14.87,15.01,,
2023-03-27,46.99,46.8,4073734,47.11,46.7,46.94,5859,15.2,15.14,12221202,15.24,15.1,15.18,,
2023-03-28,46.73,46.72,1326360,46.83,46.49,46.72,4470,15.11,15.11,3979080,15.15,15.04,15.11,,
2023-03-29,47.14,47.39,3902986,47.44,47.09,47.14,4445,15.25,15.33,11708958,15.34,15.23,15.25,,
2023-03-30,47.72,47.67,1054637,47.78,47.46,47.64,4859,15.43,15.42,3163911,15.45,15.35,15.41,,
2023-03-31,47.78,48.39,1473570,48.41,47.78,48.22,5137,15.45,15.65,4420710,15.66,15.45,15.6,,
