Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,46.39,46.36,8447,46.39,46.35,46.36,64,41.88,41.85,8447,41.88,41.84,41.85,,
2023-03-02,46.32,46.35,3632,46.35,46.31,46.33,45,41.81,41.84,3632,41.84,41.8,41.82,,
2023-03-03,46.38,46.42,928,46.43,46.38,46.4,19,41.87,41.9,928,41.91,41.87,41.89,,
2023-03-06,46.47,46.42,18151,46.47,46.41,46.44,80,41.95,41.9,18151,41.95,41.89,41.92,,
2023-03-07,46.45,46.32,573425,46.45,46.31,46.35,115,41.93,41.81,573425,41.93,41.8,41.84,,
2023-03-08,46.36,46.26,498092,46.36,46.24,46.26,148,41.85,41.76,498092,41.85,41.74,41.76,,
2023-03-09,46.34,46.41,13928,46.41,46.34,46.37,114,41.83,41.89,13928,41.89,41.83,41.86,,
2023-03-10,46.69,46.8,87639,46.8,46.65,46.72,741,42.15,42.25,87639,42.25,42.11,42.17,,
2023-03-13,47.11,46.97,2236,47.18,46.95,47.05,26,42.53,42.4,2236,42.59,42.38,42.47,,
2023-03-14,46.82,46.83,10881,46.87,46.73,46.79,102,42.26,42.27,10881,42.31,42.18,42.24,,
2023-03-15,47.11,47.09,42989,47.12,46.91,46.99,148,42.53,42.51,42989,42.54,42.35,42.42,,
2023-03-16,47.06,46.9,10889,47.08,46.85,46.93,76,42.48,42.34,10889,42.5,42.29,42.36,,
2023-03-17,47.04,47.16,5074,47.22,47.04,47.13,47,42.46,42.57,5074,42.63,42.46,42.54,,
2023-03-20,47.09,47.05,2773,47.13,47.05,47.09,18,42.51,42.47,2773,42.54,42.47,42.51,,
2023-03-21,46.96,46.99,58558,47.11,46.95,47.04,48,42.39,42.42,58558,42.53,42.38,42.46,,
2023-03-22,46.88,47.25,8959,47.25,46.88,46.98,82,42.32,42.65,8959,42.65,42.32,42.41,,
2023-03-23,47.24,47.38,5699,47.4,47.24,47.32,29,42.64,42.77,5699,42.79,42.64,42.72,,
2023-03-24,47.85,47.42,59787,47.85,47.42,47.75,120,43.19,42.81,59787,43.19,42.81,43.1,,
2023-03-27,47.14,47.06,10713,47.18,47.06,47.14,67,42.64,42.57,10713,42.68,42.57,42.64,0.095,
2023-03-28,46.98,47,11291,47.01,46.98,46.98,64,42.49,42.51,11291,42.52,42.49,42.49,,
2023-03-29,46.96,47.01,2643,47.01,46.96,46.99,32,42.48,42.52,2643,42.52,42.48,42.5,,
2023-03-30,47,47.02,7566,47.04,47,47.02,70,42.51,42.53,7566,42.55,42.51,42.53,,
2023-03-31,47.05,47.19,15363,47.19,47.05,47.13,114,42.56,42.68,15363,42.68,42.56,42.63,,
