Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,46.28,46.3,8400,46.37,46.28,46.31,62,41.21,41.23,8400,41.29,41.21,41.24,0.115668,
2023-03-02,46.22,46.31,27825,46.33,46.18,46.24,128,41.16,41.24,27825,41.25,41.12,41.17,,
2023-03-03,46.42,46.51,27961,46.51,46.39,46.45,61,41.33,41.41,27961,41.41,41.31,41.36,,
2023-03-06,46.57,46.48,9466,46.57,46.46,46.5,58,41.47,41.39,9466,41.47,41.37,41.41,,
2023-03-07,46.51,46.33,27729,46.51,46.32,46.38,314,41.41,41.25,27729,41.41,41.25,41.3,,
2023-03-08,46.39,46.26,22732,46.43,46.22,46.31,140,41.31,41.19,22732,41.34,41.16,41.24,,
2023-03-09,46.33,46.38,22821,46.43,46.32,46.38,166,41.25,41.3,22821,41.34,41.25,41.3,,
2023-03-10,46.69,46.68,29924,46.74,46.6,46.67,200,41.57,41.57,29924,41.62,41.49,41.56,,
2023-03-13,47.07,46.79,10497,47.17,46.76,46.97,108,41.91,41.66,10497,42,41.64,41.82,,
2023-03-14,46.74,46.71,12584,46.81,46.6,46.72,77,41.62,41.59,12584,41.68,41.49,41.6,,
2023-03-15,46.84,46.93,15025,46.97,46.76,46.84,131,41.71,41.79,15025,41.82,41.64,41.71,,
2023-03-16,46.98,46.78,16993,46.98,46.7,46.82,157,41.83,41.65,16993,41.83,41.58,41.69,,
2023-03-17,46.96,47.02,10835,47.12,46.96,47.06,106,41.82,41.87,10835,41.96,41.82,41.9,,
2023-03-20,47.06,46.92,24043,47.06,46.87,46.93,156,41.9,41.78,24043,41.9,41.73,41.79,,
2023-03-21,46.9,47,8377,47.1,46.9,47.01,84,41.76,41.85,8377,41.94,41.76,41.86,,
2023-03-22,46.92,47.28,10351,47.47,46.92,47.18,95,41.78,42.1,10351,42.27,41.78,42.01,,
2023-03-23,47.3,47.44,24210,47.47,47.3,47.4,150,42.12,42.24,24210,42.27,42.12,42.21,,
2023-03-24,47.51,47.5,18880,47.54,47.46,47.51,127,42.3,42.3,18880,42.33,42.26,42.3,,
2023-03-27,47.22,47.16,8439,47.32,47.16,47.26,74,42.05,41.99,8439,42.14,41.99,42.08,,
2023-03-28,47.1,47.09,7706,47.11,47.05,47.08,58,41.94,41.93,7706,41.95,41.9,41.92,,
2023-03-29,47.01,47.15,8387,47.17,47.01,47.1,72,41.86,41.98,8387,42,41.86,41.94,,
2023-03-30,47.15,47.19,12106,47.22,47.15,47.21,80,41.98,42.02,12106,42.05,41.98,42.04,,
2023-03-31,47.37,47.45,23664,47.45,47.25,47.34,101,42.18,42.25,23664,42.25,42.07,42.15,,
