Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,56.99,57.2,29519,57.36,56.99,57.14,197,55.03,55.23,29519,55.39,55.03,55.18,,
2023-03-02,56.86,57.44,23531,57.55,56.84,57.21,154,54.91,55.47,23531,55.57,54.89,55.24,,
2023-03-03,57.67,58.27,33762,58.35,57.43,58.08,117,55.69,56.27,33762,56.34,55.46,56.08,,
2023-03-06,58.19,57.59,15235,58.26,57.43,57.85,136,56.19,55.61,15235,56.26,55.46,55.86,,
2023-03-07,57.46,56.84,18458,57.59,56.79,57.04,113,55.48,54.89,18458,55.61,54.84,55.08,,
2023-03-08,56.84,56.84,14274,57.13,56.56,56.83,138,54.89,54.89,14274,55.17,54.62,54.88,,
2023-03-09,56.91,55.39,21735,57.09,55.37,56.11,148,54.95,53.49,21735,55.13,53.47,54.18,,
2023-03-10,55.25,53.78,1993926,55.25,53.35,54.42,276,53.35,51.93,1993926,53.35,51.52,52.55,,
2023-03-13,52.83,52.82,62403,53.67,52.38,53.02,417,51.01,51,62403,51.82,50.58,51.2,,
2023-03-14,54.14,53.75,50152,54.35,53.29,53.91,233,52.28,51.9,50152,52.48,51.46,52.06,,
2023-03-15,52.71,52.75,50570,52.84,51.97,52.47,362,50.9,50.94,50570,51.02,50.18,50.67,,
2023-03-16,52.13,53.51,46388,53.61,52,52.91,214,50.34,51.67,46388,51.77,50.21,51.09,,
2023-03-17,53.03,52.22,20647,53.03,52.04,52.28,164,51.21,50.42,20647,51.21,50.25,50.48,,
2023-03-20,52.34,52.87,80369,53.31,52.34,52.94,201,50.54,51.05,80369,51.48,50.54,51.12,,
2023-03-21,53.79,53.92,198384,54.04,53.67,53.72,171,51.94,52.07,198384,52.18,51.82,51.87,,
2023-03-22,53.8,52.51,34418,53.81,52.51,53.41,161,51.95,50.7,34418,51.96,50.7,51.57,,
2023-03-23,52.83,52.17,33533,53.2,51.7,52.34,114,51.2,50.56,33533,51.56,50.1,50.72,0.188089,
2023-03-24,51.71,52.48,51766,52.48,51.41,52.1,256,50.11,50.86,51766,50.86,49.82,50.49,,
2023-03-27,53.09,53.05,55094,53.27,52.65,53.05,298,51.45,51.41,55094,51.62,51.02,51.41,,
2023-03-28,53.06,53.09,202201,53.34,52.85,53.04,232,51.42,51.45,202201,51.69,51.22,51.4,,
2023-03-29,53.77,53.74,193622,53.77,53.33,53.51,414,52.11,52.08,193622,52.11,51.68,51.86,,
2023-03-30,54.06,53.81,54448,54.34,53.58,53.88,287,52.39,52.15,54448,52.66,51.92,52.21,,
2023-03-31,53.96,54.84,35887,54.87,53.96,54.6,222,52.29,53.15,35887,53.17,52.29,52.91,,
