Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.54,22.52,670575,22.58,22.45,22.52,1672,18.61,18.59,670575,18.64,18.54,18.59,0.132783,
2023-03-02,22.45,22.53,1778169,22.54,22.39,22.48,4241,18.54,18.6,1778169,18.61,18.49,18.56,,
2023-03-03,22.6,22.71,2205091,22.75,22.58,22.74,2056,18.66,18.75,2205091,18.78,18.64,18.77,,
2023-03-06,22.8,22.71,275309,22.8,22.71,22.76,1476,18.82,18.75,275309,18.82,18.75,18.79,,
2023-03-07,22.74,22.62,633862,22.76,22.59,22.62,2077,18.77,18.68,633862,18.79,18.65,18.68,,
2023-03-08,22.64,22.5,400968,22.64,22.43,22.52,2105,18.69,18.58,400968,18.69,18.52,18.59,,
2023-03-09,22.54,22.44,774888,22.6,22.31,22.49,5335,18.61,18.53,774888,18.66,18.42,18.57,,
2023-03-10,22.45,22.39,429296,22.53,22.31,22.41,3156,18.54,18.49,429296,18.6,18.42,18.5,,
2023-03-13,22.33,22.3,786505,22.53,22.24,22.31,1923,18.44,18.41,786505,18.6,18.36,18.42,,
2023-03-14,22.47,22.45,333730,22.51,22.34,22.41,1836,18.55,18.54,333730,18.58,18.44,18.5,,
2023-03-15,22.28,22.32,392613,22.36,22.21,22.28,2774,18.39,18.43,392613,18.46,18.34,18.39,,
2023-03-16,22.28,22.53,456715,22.53,22.27,22.43,1391,18.39,18.6,456715,18.6,18.39,18.52,,
2023-03-17,22.42,22.35,829807,22.45,22.32,22.37,1790,18.51,18.45,829807,18.54,18.43,18.47,,
2023-03-20,22.36,22.31,382047,22.39,22.23,22.28,1410,18.46,18.42,382047,18.49,18.35,18.39,,
2023-03-21,22.4,22.51,1015282,22.51,22.38,22.44,2640,18.49,18.58,1015282,18.58,18.48,18.53,,
2023-03-22,22.52,22.51,1401986,22.71,22.42,22.49,2948,18.59,18.58,1401986,18.75,18.51,18.57,,
2023-03-23,22.57,22.45,733485,22.62,22.35,22.52,3065,18.63,18.54,733485,18.68,18.45,18.59,,
2023-03-24,22.4,22.37,464823,22.43,22.34,22.38,3134,18.49,18.47,464823,18.52,18.44,18.48,,
2023-03-27,22.48,22.35,6956164,22.49,22.34,22.44,1233,18.56,18.45,6956164,18.57,18.44,18.53,,
2023-03-28,22.31,22.35,974224,22.36,22.3,22.32,3366,18.42,18.45,974224,18.46,18.41,18.43,,
2023-03-29,22.45,22.6,276807,22.62,22.45,22.56,1175,18.54,18.66,276807,18.68,18.54,18.63,,
2023-03-30,22.67,22.7,310598,22.73,22.59,22.64,1448,18.72,18.74,310598,18.77,18.65,18.69,,
2023-03-31,22.79,22.99,1135323,22.99,22.78,22.89,2884,18.82,18.98,1135323,18.98,18.81,18.9,,
