Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,26.06,25.99,16715,26.1,25.99,26.05,77,25.18,25.11,16715,25.21,25.11,25.17,,
2023-03-02,25.88,26.22,11807,26.27,25.88,26.06,54,25,25.33,11807,25.38,25,25.18,,
2023-03-03,26.29,26.63,13881,26.63,26.29,26.5,64,25.4,25.73,13881,25.73,25.4,25.6,,
2023-03-06,26.76,26.67,27040,26.84,26.66,26.73,66,25.85,25.77,27040,25.93,25.76,25.82,,
2023-03-07,26.57,26.25,35429,26.65,26.25,26.35,61,25.67,25.36,35429,25.75,25.36,25.46,,
2023-03-08,26.28,26.28,38144,26.33,26.16,26.28,109,25.39,25.39,38144,25.44,25.27,25.39,,
2023-03-09,26.38,25.83,7662,26.42,25.79,26.32,65,25.48,24.95,7662,25.52,24.91,25.43,,
2023-03-10,25.67,25.47,15968,25.81,25.4,25.6,69,24.8,24.61,15968,24.93,24.54,24.73,,
2023-03-13,25.63,25.44,3695,25.66,25.41,25.57,48,24.76,24.58,3695,24.79,24.55,24.7,,
2023-03-14,25.74,25.8,42558,25.94,25.58,25.69,109,24.87,24.92,42558,25.06,24.71,24.82,,
2023-03-15,25.5,25.6,9028,25.65,25.39,25.56,61,24.63,24.73,9028,24.78,24.53,24.69,,
2023-03-16,25.55,26.09,27518,26.1,25.55,25.97,136,24.68,25.2,27518,25.21,24.68,25.09,,
2023-03-17,26.07,25.81,6933,26.07,25.75,25.91,108,25.19,24.93,6933,25.19,24.88,25.03,,
2023-03-20,25.87,26.05,3162,26.05,25.87,25.98,41,24.99,25.17,3162,25.17,24.99,25.1,,
2023-03-21,26.23,26.39,8896,26.39,26.2,26.28,65,25.34,25.49,8896,25.49,25.31,25.39,,
2023-03-22,26.31,26.01,14068,26.45,26.01,26.38,42,25.42,25.13,14068,25.55,25.13,25.48,,
2023-03-23,26.17,26.06,14842,26.36,25.88,26.19,61,25.28,25.18,14842,25.47,25,25.3,,
2023-03-24,25.9,26.13,3298,26.15,25.9,26.02,31,25.02,25.24,3298,25.26,25.02,25.14,,
2023-03-27,26.16,26.06,25045,26.18,26.04,26.12,64,25.41,25.31,25045,25.43,25.29,25.37,0.14,
2023-03-28,26.02,25.99,7524,26.03,25.94,25.99,59,25.27,25.24,7524,25.28,25.19,25.24,,
2023-03-29,26.21,26.36,17878,26.37,26.21,26.29,123,25.46,25.6,17878,25.61,25.46,25.53,,
2023-03-30,26.67,26.52,3602,26.67,26.5,26.58,29,25.9,25.76,3602,25.9,25.74,25.82,,
2023-03-31,26.67,26.91,6001,26.91,26.67,26.77,48,25.9,26.14,6001,26.14,25.9,26,,
