Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.48,21.43,13030,21.48,21.41,21.44,30,19.66,19.61,13030,19.66,19.59,19.62,,
2023-03-02,21.37,21.38,17299,21.38,21.35,21.35,11,19.56,19.56,17299,19.56,19.54,19.54,,
2023-03-03,21.51,21.56,3583,21.56,21.51,21.52,7,19.68,19.73,3583,19.73,19.68,19.69,,
2023-03-06,21.58,21.51,2171,21.58,21.51,21.57,9,19.75,19.68,2171,19.75,19.68,19.74,,
2023-03-07,19.78,21.48,500,21.54,19.78,20.98,12,18.1,19.66,500,19.71,18.1,19.2,,
2023-03-08,21.52,21.45,697,21.52,21.45,21.52,4,19.69,19.63,697,19.69,19.63,19.69,,
2023-03-09,21.52,21.45,315,21.52,21.45,21.5,5,19.69,19.63,315,19.69,19.63,19.67,,
2023-03-10,21.63,21.65,3493,21.7,21.63,21.66,14,19.79,19.81,3493,19.86,19.79,19.82,,
2023-03-13,21.8,21.69,1156,21.8,21.69,21.74,11,19.95,19.85,1156,19.95,19.85,19.89,,
2023-03-14,21.66,21.63,4368,21.67,21.63,21.66,12,19.82,19.79,4368,19.83,19.79,19.82,,
2023-03-15,21.73,21.73,605,21.75,21.73,21.74,5,19.89,19.89,605,19.9,19.89,19.89,,
2023-03-16,21.76,21.7,1242,21.76,21.63,21.67,14,19.91,19.86,1242,19.91,19.79,19.83,,
2023-03-17,21.75,21.78,386,21.78,21.75,21.76,3,19.9,19.93,386,19.93,19.9,19.91,,
2023-03-20,21.75,21.71,1080,21.76,21.71,21.75,5,19.9,19.87,1080,19.91,19.87,19.9,,
2023-03-21,21.68,21.72,464,21.73,21.68,21.72,3,19.84,19.88,464,19.89,19.84,19.88,,
2023-03-22,21.74,21.83,1721,21.86,21.74,21.77,18,19.89,19.98,1721,20,19.89,19.92,,
2023-03-23,21.87,21.85,11890,21.89,21.85,21.88,81,20.01,19.99,11890,20.03,19.99,20.02,,
2023-03-24,21.85,21.87,434,21.87,21.85,21.85,4,19.99,20.01,434,20.01,19.99,19.99,,
2023-03-27,21.82,21.72,100,21.82,21.72,21.82,1,19.97,19.88,100,19.97,19.88,19.97,,
2023-03-28,21.66,21.7,387,21.72,21.66,21.69,5,19.82,19.86,387,19.88,19.82,19.85,,
2023-03-29,21.61,21.67,3667,21.7,21.61,21.67,18,19.86,19.92,3667,19.95,19.86,19.92,0.0957,
2023-03-30,21.78,21.72,5596,21.78,21.71,21.72,7,20.02,19.96,5596,20.02,19.95,19.96,,
2023-03-31,21.74,21.85,3716,21.85,21.74,21.84,6,19.98,20.08,3716,20.08,19.98,20.07,,
