Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,19.9,19.9,100,19.9,19.9,19.9,1,19.9,19.9,100,19.9,19.9,19.9,,
2023-03-02,19.75,19.76,226311,19.79,19.74,19.79,8,19.75,19.76,226311,19.79,19.74,19.79,,
2023-03-03,21.5,20.17,6494,21.5,19.97,20.3,50,21.5,20.17,6494,21.5,19.97,20.3,,
2023-03-06,20.1,20.09,288,20.1,20.09,20.11,2,20.1,20.09,288,20.1,20.09,20.11,,
2023-03-07,20.2,20.08,2170,20.2,20.08,20.12,14,20.2,20.08,2170,20.2,20.08,20.12,,
2023-03-08,20.33,20.12,304,20.33,20.12,20.33,2,20.33,20.12,304,20.33,20.12,20.33,,
2023-03-09,20.1,20.14,315,20.14,20.1,20.13,4,20.1,20.14,315,20.14,20.1,20.13,,
2023-03-10,20.31,20.58,1844,20.65,20.31,20.59,6,20.31,20.58,1844,20.65,20.31,20.59,,
2023-03-13,20.78,20.62,1330,20.8,20.62,20.76,5,20.78,20.62,1330,20.8,20.62,20.76,,
2023-03-14,20.65,20.46,668,20.65,20.46,20.59,7,20.65,20.46,668,20.65,20.46,20.59,,
2023-03-15,20.64,20.71,350,20.71,20.64,20.67,4,20.64,20.71,350,20.71,20.64,20.67,,
2023-03-16,20.71,20.67,196,20.71,20.67,20.79,2,20.71,20.67,196,20.71,20.67,20.79,,
2023-03-17,20.83,20.83,55,20.83,20.83,20.87,1,20.83,20.83,55,20.83,20.83,20.87,,
2023-03-20,20.77,20.77,5,20.77,20.77,20.86,1,20.77,20.77,5,20.77,20.77,20.86,,
2023-03-21,20.64,20.64,0,20.64,20.64,,undefined,20.64,20.64,0,20.64,20.64,,,
2023-03-22,20.74,20.83,452,20.83,20.74,20.81,7,20.74,20.83,452,20.83,20.74,20.81,,
2023-03-23,20.74,20.85,511,20.85,20.7,20.73,3,20.74,20.85,511,20.85,20.7,20.73,,
2023-03-24,20.94,21.01,3563,21.01,20.94,20.99,4,20.94,21.01,3563,21.01,20.94,20.99,,
2023-03-27,20.83,20.59,650,20.83,20.59,20.73,4,20.83,20.59,650,20.83,20.59,20.73,,
2023-03-28,20.62,20.65,100,20.65,20.62,20.62,1,20.62,20.65,100,20.65,20.62,20.62,,
2023-03-29,20.75,20.7,1841,20.75,20.7,20.71,5,20.75,20.7,1841,20.75,20.7,20.71,,
2023-03-30,20.73,20.76,22865,20.76,20.73,20.73,230,20.73,20.76,22865,20.76,20.73,20.73,,
2023-03-31,21.01,21.15,5617,21.17,21.01,21.03,9,21.01,21.15,5617,21.17,21.01,21.03,,
