Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,33.09,32.91,88194,33.09,32.79,32.91,814,22.2,22.08,88194,22.2,22,22.08,,
2023-03-02,32.26,32.31,92063,32.34,32.15,32.26,893,21.85,21.88,92063,21.9,21.77,21.85,0.309284,
2023-03-03,32.7,32.97,69989,32.97,32.67,32.8,428,22.15,22.33,69989,22.33,22.13,22.21,,
2023-03-06,33.06,32.82,34777,33.12,32.78,32.91,464,22.39,22.23,34777,22.43,22.2,22.29,,
2023-03-07,32.86,32.97,36006,33.12,32.77,32.97,324,22.25,22.33,36006,22.43,22.19,22.33,,
2023-03-08,33.19,33.04,59110,33.27,32.89,33.12,386,22.48,22.38,59110,22.53,22.27,22.43,,
2023-03-09,33,33.1,63233,33.16,32.89,33.07,456,22.35,22.42,63233,22.46,22.27,22.4,,
2023-03-10,33.59,33.75,127651,33.82,33.57,33.67,732,22.75,22.86,127651,22.9,22.74,22.8,,
2023-03-13,33.93,33.77,97129,34.02,33.66,33.85,792,22.98,22.87,97129,23.04,22.8,22.92,,
2023-03-14,33.78,33.65,58991,33.89,33.57,33.74,563,22.88,22.79,58991,22.95,22.74,22.85,,
2023-03-15,34.02,34.02,44455,34.11,33.92,34.03,493,23.04,23.04,44455,23.1,22.97,23.05,,
2023-03-16,34.18,34.07,73602,34.19,33.99,34.11,497,23.15,23.07,73602,23.16,23.02,23.1,,
2023-03-17,34.22,34.25,229248,34.4,34.22,34.37,551,23.18,23.2,229248,23.3,23.18,23.28,,
2023-03-20,34.18,34.16,109129,34.23,34.11,34.19,435,23.15,23.13,109129,23.18,23.1,23.16,,
2023-03-21,34.13,34.06,113081,34.13,33.92,34.02,678,23.11,23.07,113081,23.11,22.97,23.04,,
2023-03-22,34.08,34.36,80497,34.4,33.98,34.16,594,23.08,23.27,80497,23.3,23.01,23.13,,
2023-03-23,34.25,34.4,79518,34.42,34.04,34.18,496,23.2,23.3,79518,23.31,23.05,23.15,,
2023-03-24,34.52,34.47,90522,34.52,34.33,34.42,526,23.38,23.34,90522,23.38,23.25,23.31,,
2023-03-27,34.17,34.06,50425,34.31,34.04,34.15,501,23.14,23.07,50425,23.24,23.05,23.13,,
2023-03-28,34.07,34.12,241020,34.22,33.99,34.07,480,23.07,23.11,241020,23.18,23.02,23.07,,
2023-03-29,33.94,34.09,66395,34.11,33.87,34.01,366,22.99,23.09,66395,23.1,22.94,23.03,,
2023-03-30,34.05,34.21,56227,34.24,34.04,34.14,292,23.06,23.17,56227,23.19,23.05,23.12,,
2023-03-31,34.36,34.57,79917,34.62,34.3,34.44,416,23.27,23.41,79917,23.45,23.23,23.32,,
