Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.95,24.95,11,24.95,24.95,24.96,2,21.92,21.92,11,21.92,21.92,21.93,,
2023-03-02,24.95,24.95,1,24.95,24.95,24.93,1,21.92,21.92,1,21.92,21.92,21.9,,
2023-03-03,24.97,24.95,801,24.97,24.95,24.96,9,21.94,21.92,801,21.94,21.92,21.93,,
2023-03-06,24.95,24.95,0,24.95,24.95,,NaN,21.92,21.92,0,21.92,21.92,,,
2023-03-07,24.96,24.96,0,24.96,24.96,,NaN,21.93,21.93,0,21.93,21.93,,,
2023-03-08,24.96,24.96,0,24.96,24.96,,NaN,21.93,21.93,0,21.93,21.93,,,
2023-03-09,24.96,24.96,0,24.96,24.96,,NaN,21.93,21.93,0,21.93,21.93,,,
2023-03-10,25,25,52,25,25,25.01,1,21.96,21.96,52,21.96,21.96,21.97,,
2023-03-13,25.07,25.07,0,25.07,25.07,,NaN,22.02,22.02,0,22.02,22.02,,,
2023-03-14,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-15,25.02,25.02,0,25.02,25.02,,NaN,21.98,21.98,0,21.98,21.98,,,
2023-03-16,25.02,25.01,100,25.02,25.01,25.02,1,21.98,21.97,100,21.98,21.97,21.98,,
2023-03-17,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-20,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-21,25,25,54,25,25,25.01,1,21.96,21.96,54,21.96,21.96,21.97,,
2023-03-22,25,25,0,25,25,,NaN,21.96,21.96,0,21.96,21.96,,,
2023-03-23,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-24,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-27,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-28,25.01,25.01,0,25.01,25.01,,NaN,21.97,21.97,0,21.97,21.97,,,
2023-03-29,24.9,24.9,0,24.9,24.9,,NaN,21.98,21.98,0,21.98,21.98,,0.11674,
2023-03-30,24.92,24.92,43,24.92,24.92,24.94,4,22,22,43,22,22,22.01,,
2023-03-31,24.92,24.92,15,24.92,24.92,24.94,1,22,22,15,22,22,22.01,,
