Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,26.21,26.24,229612,26.29,26.17,26.25,379,26.21,26.24,229612,26.29,26.17,26.25,,
2023-03-02,26.17,26.34,53440,26.37,26.17,26.32,9,26.17,26.34,53440,26.37,26.17,26.32,,
2023-03-03,26.46,26.61,24892,26.64,26.46,26.58,29,26.46,26.61,24892,26.64,26.46,26.58,,
2023-03-06,26.73,26.64,6588,26.73,26.62,26.69,49,26.73,26.64,6588,26.73,26.62,26.69,,
2023-03-07,26.6,26.32,8330,26.6,26.32,26.42,112,26.6,26.32,8330,26.6,26.32,26.42,,
2023-03-08,26.29,26.33,5693,26.33,26.24,26.29,30,26.29,26.33,5693,26.33,26.24,26.29,,
2023-03-09,26.4,26.12,15602,26.41,26.07,26.22,70,26.4,26.12,15602,26.41,26.07,26.22,,
2023-03-10,26.06,25.93,8181,26.07,25.93,26,38,26.06,25.93,8181,26.07,25.93,26,,
2023-03-13,25.78,25.94,60445,26.03,25.78,25.97,329,25.78,25.94,60445,26.03,25.78,25.97,,
2023-03-14,26.06,26.08,20363,26.1,25.95,26.03,40,26.06,26.08,20363,26.1,25.95,26.03,,
2023-03-15,25.92,26,18211,26.03,25.92,25.98,55,25.92,26,18211,26.03,25.92,25.98,,
2023-03-16,26.06,26.23,1875,26.24,26.06,26.17,34,26.06,26.23,1875,26.24,26.06,26.17,,
2023-03-17,26.17,26.14,5998,26.17,26.11,26.13,46,26.17,26.14,5998,26.17,26.11,26.13,,
2023-03-20,26.17,26.23,15831,26.27,26.16,26.2,67,26.17,26.23,15831,26.27,26.16,26.2,,
2023-03-21,26.35,26.39,2951,26.39,26.32,26.36,14,26.35,26.39,2951,26.39,26.32,26.36,,
2023-03-22,26.41,26.17,15100,26.55,26.17,26.43,57,26.41,26.17,15100,26.55,26.17,26.43,,
2023-03-23,26.27,26.2,10607,26.27,26.08,26.19,63,26.27,26.2,10607,26.27,26.08,26.19,,
2023-03-24,26.1,26.3,18518,26.3,26.08,26.15,88,26.1,26.3,18518,26.3,26.08,26.15,,
2023-03-27,26.38,26.24,5829,26.38,26.23,26.29,22,26.38,26.24,5829,26.38,26.23,26.29,,
2023-03-28,26.21,26.15,2020,26.21,26.12,26.16,19,26.21,26.15,2020,26.21,26.12,26.16,,
2023-03-29,26.33,26.41,6139,26.44,26.3,26.38,25,26.33,26.41,6139,26.44,26.3,26.38,,
2023-03-30,26.58,26.52,6888,26.58,26.45,26.5,33,26.58,26.52,6888,26.58,26.45,26.5,,
2023-03-31,26.59,26.81,14603,26.82,26.59,26.7,33,26.59,26.81,14603,26.82,26.59,26.7,,
