Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-09,100.18,100.18,131102,100.23,100.11,100.19,411,93.5,93.5,131102,93.54,93.43,93.51,,
2023-03-10,100.4,100.57,95799,100.82,100.39,100.54,553,93.7,93.86,95799,94.09,93.69,93.83,,
2023-03-13,101.3,100.75,53333,101.3,100.74,100.87,406,94.54,94.03,53333,94.54,94.02,94.14,,
2023-03-14,100.85,100.75,87162,100.9,100.49,100.67,581,94.12,94.03,87162,94.17,93.79,93.95,,
2023-03-15,101.51,101.1,70413,101.51,100.98,101.11,388,94.74,94.36,70413,94.74,94.24,94.36,,
2023-03-16,101.1,101,47883,101.12,100.9,101.06,342,94.36,94.26,47883,94.37,94.17,94.32,,
2023-03-17,101.28,101.31,41621,101.47,101.22,101.31,360,94.52,94.55,41621,94.7,94.47,94.55,,
2023-03-20,101.47,101.09,42064,101.47,101.05,101.14,176,94.7,94.35,42064,94.7,94.31,94.39,,
2023-03-21,101.05,101,52927,101.14,100.96,101.02,409,94.31,94.26,52927,94.39,94.22,94.28,,
2023-03-22,101.05,101.4,40068,101.43,101.05,101.2,319,94.31,94.64,40068,94.66,94.31,94.45,,
2023-03-23,101.4,101.37,130470,101.68,101.28,101.41,759,94.64,94.61,130470,94.9,94.52,94.64,,
2023-03-24,101.65,101.47,98216,101.72,101.36,101.45,824,94.87,94.7,98216,94.93,94.6,94.68,,
2023-03-27,101.47,101.41,49837,101.51,101.41,101.45,296,94.7,94.64,49837,94.74,94.64,94.68,,
2023-03-28,101.43,101.48,41858,101.5,101.4,101.43,262,94.66,94.71,41858,94.73,94.64,94.66,,
2023-03-29,101.4,101.49,65276,101.52,101.4,101.5,406,94.64,94.72,65276,94.75,94.64,94.73,,
2023-03-30,101.46,101.53,47863,101.53,101.46,101.52,205,94.69,94.76,47863,94.76,94.69,94.75,,
2023-03-31,101.64,101.62,33135,101.68,101.54,101.57,250,94.86,94.84,33135,94.9,94.77,94.79,,
