Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,49.35,49.35,228,49.35,49.35,49.36,5,48.89,48.89,228,48.89,48.89,48.9,,
2023-03-02,49.18,49.54,3199,49.54,49.15,49.21,22,48.72,49.07,3199,49.07,48.69,48.75,,
2023-03-03,50.16,50.16,800,50.19,50.16,50.17,9,49.69,49.69,800,49.72,49.69,49.7,,
2023-03-06,50.06,49.81,2237,50.09,49.81,50.06,18,49.59,49.34,2237,49.62,49.34,49.59,,
2023-03-07,49.27,48.97,2151,49.27,48.89,49.21,23,48.81,48.51,2151,48.81,48.43,48.75,,
2023-03-08,48.89,49.07,3890,49.09,48.89,48.97,38,48.43,48.61,3890,48.63,48.43,48.51,,
2023-03-09,48.7,48.11,7471,48.7,48.11,48.57,21,48.24,47.66,7471,48.24,47.66,48.11,,
2023-03-10,47.47,47.19,5775,47.47,47.11,47.16,29,47.02,46.75,5775,47.02,46.67,46.72,,
2023-03-13,47.69,46.39,3611,47.69,46.2,46.41,19,47.24,45.95,3611,47.24,45.77,45.97,,
2023-03-14,46.91,46.91,1449,46.91,46.91,46.77,10,46.47,46.47,1449,46.47,46.47,46.33,,
2023-03-15,45.72,45.67,6409,45.72,45.58,45.61,45,45.29,45.24,6409,45.29,45.15,45.18,,
2023-03-16,45.43,46.29,2587,46.29,45.2,45.95,34,45,45.85,2587,45.85,44.78,45.52,,
2023-03-17,45.46,45.45,4816,45.46,45.35,45.36,11,45.03,45.02,4816,45.03,44.92,44.93,,
2023-03-20,45.39,46.07,2533,46.21,45.39,45.86,9,44.96,45.64,2533,45.78,44.96,45.43,,
2023-03-21,46.67,46.88,533,46.88,46.67,46.83,10,46.23,46.44,533,46.44,46.23,46.39,,
2023-03-22,47.14,46.18,2167,47.18,46.18,46.7,20,46.7,45.75,2167,46.74,45.75,46.26,,
2023-03-23,45.92,45.97,924,45.97,45.92,45.93,6,45.49,45.54,924,45.54,45.49,45.5,,
2023-03-24,46.03,46.03,1026,46.05,46.03,45.99,12,45.6,45.6,1026,45.62,45.6,45.56,,
2023-03-27,46.03,46.46,3032,46.63,46.03,46.55,13,45.6,46.02,3032,46.19,45.6,46.11,,
2023-03-28,46.14,46.59,19183,46.63,46.14,46.32,31,45.71,46.15,19183,46.19,45.71,45.88,,
2023-03-29,47.03,47.23,10511,47.23,47.02,47.08,43,46.59,46.79,10511,46.79,46.58,46.64,,
2023-03-30,47.63,47.54,1983,47.63,47.48,47.48,16,47.18,47.09,1983,47.18,47.03,47.03,,
2023-03-31,47.77,48.08,2303,48.08,47.77,47.92,9,47.32,47.63,2303,47.63,47.32,47.47,,
