Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,31.04,30.97,1457,31.04,30.97,31.1,30,20.78,20.74,1457,20.78,20.74,20.82,,
2023-03-02,30.45,31.11,1074,31.11,30.45,30.8,30,20.39,20.83,1074,20.83,20.39,20.62,,
2023-03-03,31.19,31.35,4145,31.4,31.11,31.22,37,20.89,20.99,4145,21.03,20.83,20.91,,
2023-03-06,31.19,31.46,7996,31.6,31.15,31.29,39,20.89,21.07,7996,21.16,20.86,20.95,,
2023-03-07,31.46,30.73,2276,31.46,30.55,30.86,25,21.07,20.58,2276,21.07,20.46,20.66,,
2023-03-08,30.6,30.76,8658,30.92,30.6,30.76,38,20.49,20.6,8658,20.7,20.49,20.6,,
2023-03-09,30.6,28.85,13858,30.6,28.85,29.99,46,20.49,19.32,13858,20.49,19.32,20.08,,
2023-03-10,28.61,26.72,22019,28.79,26.72,27.91,79,19.16,17.89,22019,19.28,17.89,18.69,,
2023-03-13,26.51,26.5,13690,26.82,25.34,26.54,62,17.75,17.74,13690,17.96,16.97,17.77,,
2023-03-14,27.81,27.55,16666,28.19,27.45,27.86,40,18.62,18.45,16666,18.88,18.38,18.66,,
2023-03-15,26.91,26.78,18859,27.06,26.53,26.96,89,18.02,17.93,18859,18.12,17.76,18.05,,
2023-03-16,26.72,27.54,4568,27.56,26.58,26.85,25,17.89,18.44,4568,18.45,17.8,17.98,,
2023-03-17,27.06,26.76,3718,27.06,26.74,26.84,17,18.12,17.92,3718,18.12,17.91,17.97,,
2023-03-20,27.01,26.95,1699,27.01,26.95,27.02,12,18.09,18.05,1699,18.09,18.05,18.09,,
2023-03-21,27.87,28.06,1295,28.17,27.72,27.83,15,18.66,18.79,1295,18.86,18.56,18.64,,
2023-03-22,28.06,27.36,2761,28.12,27.36,28.01,41,18.79,18.32,2761,18.83,18.32,18.76,,
2023-03-23,27.84,27.09,2246,27.84,27.09,27.78,17,18.64,18.14,2246,18.64,18.14,18.6,,
2023-03-24,27.41,27.55,2531,27.55,26.68,27.3,22,18.35,18.45,2531,18.45,17.87,18.28,,
2023-03-27,27.87,28.13,999,28.13,27.87,27.99,15,18.66,18.84,999,18.84,18.66,18.74,,
2023-03-28,27.8,28.1,7354,28.31,27.8,28,51,18.62,18.82,7354,18.96,18.62,18.75,,
2023-03-29,28.11,28.38,11461,28.81,28.1,28.45,73,18.82,19,11461,19.29,18.82,19.05,,
2023-03-30,28.61,28.61,1107,28.67,28.59,28.62,16,19.16,19.16,1107,19.2,19.14,19.16,,
2023-03-31,29,28.87,6026,29.08,28.87,29.01,36,19.42,19.33,6026,19.47,19.33,19.43,,
