Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,23.83,23.5,29031,23.83,23.5,23.76,105,23.83,23.5,29031,23.83,23.5,23.76,,
2023-03-02,22.92,23.31,29416,23.36,22.88,23.2,232,22.92,23.31,29416,23.36,22.88,23.2,,
2023-03-03,23.54,24.02,56101,24.05,23.45,23.86,237,23.54,24.02,56101,24.05,23.45,23.86,,
2023-03-06,24.16,23.95,16223,24.39,23.95,24.22,133,24.16,23.95,16223,24.39,23.95,24.22,,
2023-03-07,24.05,23.77,11382,24.19,23.69,23.97,134,24.05,23.77,11382,24.19,23.69,23.97,,
2023-03-08,23.63,23.95,4757,23.96,23.63,23.78,86,23.63,23.95,4757,23.96,23.63,23.78,,
2023-03-09,23.94,23.29,13040,24.11,23.29,23.7,192,23.94,23.29,13040,24.11,23.29,23.7,,
2023-03-10,23.1,22.94,42357,23.51,22.85,23.09,358,23.1,22.94,42357,23.51,22.85,23.09,,
2023-03-13,22.69,23.19,29841,23.51,22.45,23.11,244,22.69,23.19,29841,23.51,22.45,23.11,,
2023-03-14,23.57,24.12,36336,24.12,23.57,23.92,258,23.57,24.12,36336,24.12,23.57,23.92,,
2023-03-15,23.88,24.36,41154,24.41,23.76,24.08,377,23.88,24.36,41154,24.41,23.76,24.08,,
2023-03-16,24.38,25.31,194676,25.31,24.35,25.07,619,24.38,25.31,194676,25.31,24.35,25.07,,
2023-03-17,25.32,25.07,17613,25.34,24.94,25.14,181,25.32,25.07,17613,25.34,24.94,25.14,,
2023-03-20,24.89,25.04,24634,25.06,24.61,24.84,240,24.89,25.04,24634,25.06,24.61,24.84,,
2023-03-21,25.37,25.6,11756,25.67,25.19,25.42,152,25.37,25.6,11756,25.67,25.19,25.42,,
2023-03-22,25.63,25.29,31811,26.22,25.29,25.69,314,25.63,25.29,31811,26.22,25.29,25.69,,
2023-03-23,25.78,25.94,88637,26.19,25.73,25.95,531,25.78,25.94,88637,26.19,25.73,25.95,,
2023-03-24,25.77,25.78,20149,25.82,25.55,25.71,193,25.77,25.78,20149,25.82,25.55,25.71,,
2023-03-27,25.89,25.54,38225,25.93,25.43,25.75,1037,25.89,25.54,38225,25.93,25.43,25.75,,
2023-03-28,25.52,25.28,32850,25.52,25.09,25.24,720,25.52,25.28,32850,25.52,25.09,25.24,,
2023-03-29,25.75,25.82,18511,25.87,25.55,25.76,201,25.75,25.82,18511,25.87,25.55,25.76,,
2023-03-30,26.03,26.2,36989,26.27,26.03,26.19,342,26.03,26.2,36989,26.27,26.03,26.19,,
2023-03-31,26.21,26.88,98623,26.9,26.21,26.69,482,26.21,26.88,98623,26.9,26.21,26.69,,
