Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,19.77,19.47,51641,19.85,19.46,19.63,606,16.58,16.33,51641,16.65,16.32,16.46,,
2023-03-02,19.29,19.58,49576,19.72,19.22,19.44,426,16.18,16.42,49576,16.54,16.12,16.3,,
2023-03-03,20.07,20.62,72274,20.64,19.92,20.26,739,16.83,17.29,72274,17.31,16.7,16.99,,
2023-03-06,21.22,21.21,242756,21.7,21.13,21.38,1420,17.79,17.79,242756,18.2,17.72,17.93,,
2023-03-07,21.19,20.72,89093,21.19,20.64,20.92,762,17.77,17.38,89093,17.77,17.31,17.54,,
2023-03-08,20.99,21,73826,21.07,20.79,20.94,589,17.6,17.61,73826,17.67,17.43,17.56,,
2023-03-09,21.15,20.53,87828,21.31,20.43,20.96,707,17.74,17.22,87828,17.87,17.13,17.58,,
2023-03-10,20.42,20.07,93471,20.55,19.92,20.18,781,17.12,16.83,93471,17.23,16.7,16.92,,
2023-03-13,19.96,20.47,84756,20.98,19.96,20.52,821,16.74,17.17,84756,17.59,16.74,17.21,,
2023-03-14,20.67,20.87,74889,21.03,20.42,20.81,623,17.33,17.5,74889,17.64,17.12,17.45,,
2023-03-15,20.57,20.98,95252,21.03,20.37,20.68,850,17.25,17.59,95252,17.64,17.08,17.34,,
2023-03-16,20.84,21.57,253671,21.68,20.8,21.46,1234,17.48,18.09,253671,18.18,17.44,18,,
2023-03-17,21.59,21.41,90347,21.74,21.24,21.44,660,18.11,17.95,90347,18.23,17.81,17.98,,
2023-03-20,21.46,21.88,126550,21.96,21.23,21.78,755,18,18.35,126550,18.42,17.8,18.26,,
2023-03-21,21.78,22.19,168066,22.2,21.64,21.94,908,18.33,18.67,168066,18.68,18.21,18.46,0.07802,
2023-03-22,22.17,21.91,196377,22.79,21.88,22.36,1079,18.66,18.44,196377,19.18,18.41,18.82,,
2023-03-23,22.12,22.12,169235,22.62,21.86,22.19,1041,18.62,18.62,169235,19.04,18.4,18.67,,
2023-03-24,22.08,22.4,97725,22.4,21.89,22.12,807,18.58,18.85,97725,18.85,18.42,18.62,,
2023-03-27,22.31,21.97,96516,22.46,21.88,22.2,774,18.78,18.49,96516,18.9,18.41,18.68,,
2023-03-28,21.88,21.84,55880,21.91,21.49,21.67,583,18.41,18.38,55880,18.44,18.09,18.24,,
2023-03-29,22.17,22.46,119438,22.51,22.17,22.35,708,18.66,18.9,119438,18.94,18.66,18.81,,
2023-03-30,22.64,22.79,186916,22.82,22.6,22.74,826,19.05,19.18,186916,19.2,19.02,19.14,,
2023-03-31,22.79,23.32,176343,23.33,22.76,23.03,998,19.18,19.63,176343,19.63,19.15,19.38,,
