Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.37,18.35,168660,18.42,18.33,18.37,321,18.37,18.35,168660,18.42,18.33,18.37,,
2023-03-02,18.32,18.34,379304,18.36,18.31,18.33,206,18.32,18.34,379304,18.36,18.31,18.33,,
2023-03-03,18.42,18.53,96523,18.54,18.39,18.45,260,18.42,18.53,96523,18.54,18.39,18.45,,
2023-03-06,18.5,18.45,77742,18.51,18.43,18.47,243,18.5,18.45,77742,18.51,18.43,18.47,,
2023-03-07,18.31,18.12,146528,18.31,18.12,18.22,307,18.31,18.12,146528,18.31,18.12,18.22,,
2023-03-08,18.12,18.11,99349,18.22,18.11,18.14,254,18.12,18.11,99349,18.22,18.11,18.14,,
2023-03-09,18.24,18.28,68514,18.32,18.23,18.27,232,18.24,18.28,68514,18.32,18.23,18.27,,
2023-03-10,18.49,18.69,210921,18.69,18.48,18.57,414,18.49,18.69,210921,18.69,18.48,18.57,,
2023-03-13,19,19.12,2352975,19.14,18.96,19.08,801,19,19.12,2352975,19.14,18.96,19.08,,
2023-03-14,19.07,19.01,177754,19.08,18.94,19.04,380,19.07,19.01,177754,19.08,18.94,19.04,,
2023-03-15,19.23,19.15,2736260,19.36,19.08,19.21,1214,19.23,19.15,2736260,19.36,19.08,19.21,,
2023-03-16,19.3,19.18,1261881,19.3,19.12,19.18,474,19.3,19.18,1261881,19.3,19.12,19.18,,
2023-03-17,19.47,19.75,718487,19.86,19.44,19.6,923,19.47,19.75,718487,19.86,19.44,19.6,,
2023-03-20,19.81,19.77,236906,19.84,19.65,19.78,530,19.81,19.77,236906,19.84,19.65,19.78,,
2023-03-21,19.64,19.38,372897,19.64,19.34,19.44,525,19.64,19.38,372897,19.64,19.34,19.44,,
2023-03-22,19.39,19.71,486366,19.77,19.38,19.57,1004,19.39,19.71,486366,19.77,19.38,19.57,,
2023-03-23,19.78,19.96,435901,20.02,19.75,19.92,685,19.78,19.96,435901,20.02,19.75,19.92,,
2023-03-24,19.96,19.75,625184,19.99,19.74,19.87,760,19.96,19.75,625184,19.99,19.74,19.87,,
2023-03-27,19.48,19.56,457295,19.58,19.43,19.53,819,19.48,19.56,457295,19.58,19.43,19.53,,
2023-03-28,19.61,19.72,303771,19.74,19.58,19.68,503,19.61,19.72,303771,19.74,19.58,19.68,,
2023-03-29,19.63,19.62,292778,19.7,19.6,19.64,394,19.63,19.62,292778,19.7,19.6,19.64,,
2023-03-30,19.65,19.8,208105,19.82,19.64,19.72,473,19.65,19.8,208105,19.82,19.64,19.72,,
2023-03-31,19.8,19.7,571399,19.82,19.66,19.7,503,19.8,19.7,571399,19.82,19.66,19.7,,
