Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,13.27,13.26,217088,13.34,13.23,13.29,1070,11.01,11,217088,11.07,10.98,11.03,,
2023-03-02,13.22,13.27,148755,13.3,13.18,13.23,817,10.97,11.01,148755,11.03,10.94,10.98,,
2023-03-03,13.27,13.32,144684,13.39,13.27,13.33,701,11.01,11.05,144684,11.11,11.01,11.06,,
2023-03-06,13.35,13.29,109760,13.4,13.28,13.33,634,11.08,11.03,109760,11.12,11.02,11.06,,
2023-03-07,13.26,13.13,192127,13.34,13.11,13.18,1052,11,10.89,192127,11.07,10.88,10.94,,
2023-03-08,13.12,13.16,131824,13.23,13.1,13.16,727,10.89,10.92,131824,10.98,10.87,10.92,,
2023-03-09,13.19,12.98,152332,13.23,12.96,13.11,779,10.94,10.77,152332,10.98,10.75,10.88,,
2023-03-10,12.99,12.85,138231,13.03,12.78,12.89,657,10.78,10.66,138231,10.81,10.6,10.69,,
2023-03-13,12.79,12.94,286291,13.27,12.67,12.91,1257,10.61,10.74,286291,11.01,10.51,10.71,,
2023-03-14,12.94,12.88,183359,12.96,12.78,12.89,718,10.94,10.89,183359,10.95,10.8,10.89,0.2365,
2023-03-15,12.59,12.66,164441,12.76,12.59,12.66,823,10.64,10.7,164441,10.78,10.64,10.7,,
2023-03-16,12.61,12.7,150893,12.75,12.57,12.67,715,10.66,10.73,150893,10.78,10.62,10.71,,
2023-03-17,12.74,12.68,96776,12.82,12.63,12.71,628,10.77,10.72,96776,10.83,10.67,10.74,,
2023-03-20,12.69,12.71,113015,12.78,12.66,12.73,454,10.72,10.74,113015,10.8,10.7,10.76,,
2023-03-21,12.88,12.79,129689,12.88,12.71,12.79,571,10.89,10.81,129689,10.89,10.74,10.81,,
2023-03-22,12.83,12.69,133000,12.86,12.68,12.79,550,10.84,10.72,133000,10.87,10.72,10.81,,
2023-03-23,12.73,12.75,122264,12.86,12.67,12.78,546,10.76,10.78,122264,10.87,10.71,10.8,,
2023-03-24,12.75,12.71,144465,12.75,12.62,12.69,855,10.78,10.74,144465,10.78,10.67,10.72,,
2023-03-27,12.73,12.77,183668,12.81,12.66,12.75,837,10.76,10.79,183668,10.83,10.7,10.78,,
2023-03-28,12.79,12.74,112632,12.79,12.7,12.75,595,10.81,10.77,112632,10.81,10.73,10.78,,
2023-03-29,12.85,12.84,129480,12.85,12.79,12.82,646,10.86,10.85,129480,10.86,10.81,10.83,,
2023-03-30,12.91,12.98,206278,13.01,12.9,12.95,899,10.91,10.97,206278,11,10.9,10.94,,
2023-03-31,12.98,13.1,295163,13.15,12.97,13.07,1108,10.97,11.07,295163,11.11,10.96,11.05,,
