Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.18,3.12,90322,3.19,3.1,3.135,377,2.824,2.77,90322,2.832,2.753,2.784,,
2023-03-02,3.11,3.1,37711,3.12,3.09,3.108,99,2.761,2.753,37711,2.77,2.744,2.76,,
2023-03-03,3.11,3.13,37026,3.15,3.1,3.123,164,2.761,2.779,37026,2.797,2.753,2.773,,
2023-03-06,3.14,3.11,16745,3.14,3.11,3.126,69,2.788,2.761,16745,2.788,2.761,2.776,,
2023-03-07,3.11,3.115,14869,3.13,3.11,3.116,77,2.761,2.766,14869,2.779,2.761,2.767,,
2023-03-08,3.12,3.14,11760,3.15,3.12,3.136,68,2.77,2.788,11760,2.797,2.77,2.785,,
2023-03-09,3.12,3.12,76685,3.15,3.1,3.119,160,2.77,2.77,76685,2.797,2.753,2.769,,
2023-03-10,3.132,3.162,45081,3.182,3.132,3.149,142,2.781,2.808,45081,2.825,2.781,2.796,,
2023-03-13,3.172,3.142,23889,3.172,3.142,3.149,63,2.816,2.79,23889,2.816,2.79,2.796,,
2023-03-14,3.122,3.152,43435,3.182,3.122,3.146,100,2.783,2.809,43435,2.836,2.783,2.804,0.012,
2023-03-15,3.172,3.142,64179,3.182,3.142,3.173,132,2.827,2.801,64179,2.836,2.801,2.828,,
2023-03-16,3.142,3.132,32829,3.182,3.132,3.159,285,2.801,2.792,32829,2.836,2.792,2.816,,
2023-03-17,3.132,3.152,39886,3.157,3.122,3.144,282,2.792,2.809,39886,2.814,2.783,2.802,,
2023-03-20,3.142,3.147,61312,3.162,3.122,3.145,332,2.801,2.805,61312,2.818,2.783,2.803,,
2023-03-21,3.142,3.092,66682,3.152,3.092,3.128,329,2.801,2.756,66682,2.809,2.756,2.788,,
2023-03-22,3.102,3.132,47103,3.132,3.082,3.11,320,2.765,2.792,47103,2.792,2.747,2.772,,
2023-03-23,3.112,3.112,57470,3.142,3.112,3.123,263,2.774,2.774,57470,2.801,2.774,2.784,,
2023-03-24,3.122,3.142,52100,3.152,3.122,3.14,256,2.783,2.801,52100,2.809,2.783,2.799,,
2023-03-27,3.132,3.132,89615,3.162,3.132,3.146,343,2.792,2.792,89615,2.818,2.792,2.804,,
2023-03-28,3.132,3.142,77009,3.162,3.132,3.145,283,2.792,2.801,77009,2.818,2.792,2.803,,
2023-03-29,3.132,3.142,56720,3.162,3.132,3.147,325,2.792,2.801,56720,2.818,2.792,2.805,,
2023-03-30,3.141,3.181,83999,3.191,3.141,3.156,228,2.8,2.835,83999,2.844,2.8,2.813,,
2023-03-31,3.201,3.211,73870,3.221,3.176,3.199,391,2.853,2.862,73870,2.871,2.831,2.851,,
