Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,12.19,12.05,381831,12.23,12.02,12.09,2226,9.308,9.201,381831,9.338,9.178,9.231,,
2023-03-02,12,12.11,379693,12.12,11.94,12.03,2223,9.163,9.247,379693,9.254,9.117,9.186,,
2023-03-03,12.18,12.15,250866,12.2,12.09,12.14,1530,9.3,9.277,250866,9.315,9.231,9.27,,
2023-03-06,12.2,12.1,179939,12.25,12.07,12.15,1154,9.315,9.239,179939,9.354,9.216,9.277,,
2023-03-07,12.14,12.1,345235,12.22,12.05,12.12,2082,9.27,9.239,345235,9.331,9.201,9.254,,
2023-03-08,12.14,12.03,330360,12.18,11.96,12.05,1959,9.27,9.186,330360,9.3,9.132,9.201,,
2023-03-09,12.03,11.72,519411,12.09,11.69,11.88,2784,9.186,8.949,519411,9.231,8.926,9.071,,
2023-03-10,11.78,11.57,687964,11.84,11.45,11.6,3351,8.995,8.834,687964,9.041,8.743,8.857,,
2023-03-13,11.42,11.38,456348,11.64,11.38,11.49,2862,8.72,8.689,456348,8.888,8.689,8.773,,
2023-03-14,11.49,11.55,381001,11.61,11.44,11.52,1683,8.773,8.819,381001,8.865,8.735,8.796,,
2023-03-15,11.35,11.62,815229,11.65,11.35,11.55,3829,8.75,8.958,815229,8.981,8.75,8.904,0.11,
2023-03-16,11.5,11.59,245522,11.61,11.42,11.55,1295,8.865,8.935,245522,8.95,8.804,8.904,,
2023-03-17,11.53,11.4,198698,11.6,11.38,11.47,1056,8.889,8.788,198698,8.943,8.773,8.842,,
2023-03-20,11.38,11.17,416686,11.4,11.17,11.29,2046,8.773,8.611,416686,8.788,8.611,8.704,,
2023-03-21,11.19,11.22,311253,11.28,11.17,11.21,1648,8.626,8.65,311253,8.696,8.611,8.642,,
2023-03-22,11.21,11.18,227203,11.26,11.14,11.19,1092,8.642,8.619,227203,8.68,8.588,8.626,,
2023-03-23,11.18,11.06,312848,11.28,11.05,11.16,1739,8.619,8.526,312848,8.696,8.519,8.603,,
2023-03-24,11.1,11.01,617921,11.11,10.91,10.98,2602,8.557,8.488,617921,8.565,8.411,8.465,,
2023-03-27,11.01,11.03,301231,11.12,11,11.05,1685,8.488,8.503,301231,8.573,8.48,8.519,,
2023-03-28,11.05,10.97,246065,11.07,10.96,10.99,1632,8.519,8.457,246065,8.534,8.449,8.472,,
2023-03-29,11.1,11.15,389442,11.16,11.05,11.12,2011,8.557,8.596,389442,8.603,8.519,8.573,,
2023-03-30,11.23,11.28,308567,11.29,11.22,11.25,1501,8.657,8.696,308567,8.704,8.65,8.673,,
2023-03-31,11.28,11.37,878761,11.49,11.28,11.39,2440,8.696,8.765,878761,8.858,8.696,8.781,,
