Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.29,11.38,471952,11.45,11.27,11.36,1706,6.813,6.867,471952,6.91,6.801,6.855,,
2023-03-02,11.36,11.48,264112,11.5,11.25,11.42,1143,6.855,6.928,264112,6.94,6.789,6.892,,
2023-03-03,11.63,11.7,475837,11.74,11.55,11.64,1745,7.018,7.061,475837,7.085,6.97,7.024,,
2023-03-06,11.7,11.6,487694,11.7,11.36,11.53,2274,7.061,7,487694,7.061,6.855,6.958,,
2023-03-07,11.6,11.19,952176,11.6,10.95,11.24,4916,7,6.753,952176,7,6.608,6.783,,
2023-03-08,11.29,11.47,518789,11.54,11.27,11.42,2520,6.813,6.922,518789,6.964,6.801,6.892,,
2023-03-09,11.42,11.27,714228,11.64,11.25,11.48,2766,6.892,6.801,714228,7.024,6.789,6.928,,
2023-03-10,11.07,10.82,657883,11.21,10.53,10.83,3033,6.764,6.612,657883,6.85,6.434,6.618,0.14,
2023-03-13,10.57,10.38,731566,10.67,10.34,10.47,3492,6.459,6.343,731566,6.52,6.318,6.398,,
2023-03-14,10.48,10.69,332855,10.78,10.47,10.66,1357,6.404,6.532,332855,6.587,6.398,6.514,,
2023-03-15,10.54,10.39,587698,10.57,10.09,10.26,3400,6.44,6.349,587698,6.459,6.166,6.269,,
2023-03-16,10.25,10.31,397579,10.51,10.21,10.36,1907,6.263,6.3,397579,6.422,6.239,6.331,,
2023-03-17,10.39,10.17,303305,10.44,10.12,10.25,1499,6.349,6.214,303305,6.379,6.184,6.263,,
2023-03-20,10.18,10.39,378519,10.55,10.18,10.37,1856,6.221,6.349,378519,6.447,6.221,6.337,,
2023-03-21,10.48,10.52,208306,10.58,10.42,10.51,723,6.404,6.428,208306,6.465,6.367,6.422,,
2023-03-22,10.52,10.82,307870,10.84,10.52,10.7,1421,6.428,6.612,307870,6.624,6.428,6.538,,
2023-03-23,10.82,10.8,443715,10.89,10.66,10.79,1816,6.612,6.599,443715,6.654,6.514,6.593,,
2023-03-24,10.81,10.89,215056,10.89,10.66,10.82,716,6.605,6.654,215056,6.654,6.514,6.612,,
2023-03-27,10.98,11,162092,11.05,10.87,10.95,879,6.709,6.722,162092,6.752,6.642,6.691,,
2023-03-28,11.04,11.06,158861,11.06,10.94,11,575,6.746,6.758,158861,6.758,6.685,6.722,,
2023-03-29,11.11,11.16,186844,11.16,11.07,11.13,917,6.789,6.819,186844,6.819,6.764,6.801,,
2023-03-30,11.16,11.18,166764,11.18,11.09,11.14,861,6.819,6.832,166764,6.832,6.777,6.807,,
2023-03-31,11.21,11.17,370661,11.21,11.03,11.14,1713,6.85,6.825,370661,6.85,6.74,6.807,,
