Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.79,7.77,129423,7.83,7.76,7.791,816,6.257,6.241,129423,6.289,6.233,6.258,,
2023-03-02,7.77,7.82,99799,7.825,7.721,7.78,529,6.241,6.281,99799,6.285,6.201,6.249,,
2023-03-03,7.86,7.87,117941,7.89,7.84,7.867,564,6.313,6.321,117941,6.337,6.297,6.319,,
2023-03-06,7.9,7.86,91083,7.929,7.86,7.896,642,6.345,6.313,91083,6.369,6.313,6.342,,
2023-03-07,7.88,7.76,102272,7.88,7.76,7.807,667,6.329,6.233,102272,6.329,6.233,6.271,,
2023-03-08,7.759,7.759,143478,7.794,7.709,7.751,1049,6.232,6.232,143478,6.26,6.192,6.226,,
2023-03-09,7.759,7.609,205255,7.778,7.584,7.707,1216,6.232,6.112,205255,6.247,6.091,6.19,,
2023-03-10,7.604,7.554,221830,7.67,7.504,7.551,1494,6.108,6.067,221830,6.161,6.027,6.065,,
2023-03-13,7.554,7.554,219765,7.624,7.504,7.555,911,6.067,6.067,219765,6.124,6.027,6.068,,
2023-03-14,7.684,7.634,195931,7.774,7.585,7.677,967,6.172,6.132,195931,6.244,6.092,6.166,,
2023-03-15,7.564,7.564,295299,7.574,7.444,7.506,1039,6.075,6.075,295299,6.083,5.979,6.029,,
2023-03-16,7.554,7.704,208808,7.724,7.535,7.654,948,6.067,6.188,208808,6.204,6.052,6.148,,
2023-03-17,7.704,7.614,132080,7.704,7.594,7.635,998,6.188,6.116,132080,6.188,6.099,6.132,,
2023-03-20,7.614,7.684,93358,7.729,7.614,7.695,546,6.116,6.172,93358,6.208,6.116,6.181,,
2023-03-21,7.664,7.624,184955,7.724,7.614,7.668,1217,6.202,6.17,184955,6.251,6.162,6.206,0.0579,
2023-03-22,7.644,7.534,131559,7.682,7.534,7.614,1212,6.186,6.097,131559,6.217,6.097,6.162,,
2023-03-23,7.544,7.574,132654,7.674,7.524,7.602,961,6.105,6.13,132654,6.211,6.089,6.152,,
2023-03-24,7.584,7.664,135207,7.664,7.554,7.607,786,6.138,6.202,135207,6.202,6.113,6.156,,
2023-03-27,7.704,7.654,144632,7.704,7.634,7.675,880,6.235,6.194,144632,6.235,6.178,6.211,,
2023-03-28,7.624,7.594,157000,7.664,7.584,7.621,921,6.17,6.146,157000,6.202,6.138,6.168,,
2023-03-29,7.644,7.694,119476,7.694,7.639,7.669,628,6.186,6.227,119476,6.227,6.182,6.207,,
2023-03-30,7.733,7.843,160907,7.843,7.703,7.772,713,6.258,6.347,160907,6.347,6.234,6.29,,
2023-03-31,7.913,7.953,263408,7.953,7.853,7.924,785,6.404,6.436,263408,6.436,6.355,6.413,,
