Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.21,10.1,174440,10.23,10.08,10.12,896,7.977,7.891,174440,7.992,7.875,7.906,,
2023-03-02,10.06,10.08,545346,10.14,10.01,10.06,2550,7.86,7.875,545346,7.922,7.821,7.86,,
2023-03-03,10.15,10.21,359951,10.29,10.15,10.22,1695,7.93,7.977,359951,8.039,7.93,7.985,,
2023-03-06,10.25,10.24,231472,10.32,10.21,10.25,1068,8.008,8,231472,8.063,7.977,8.008,,
2023-03-07,10.27,10.25,273146,10.27,10.17,10.22,1478,8.024,8.008,273146,8.024,7.946,7.985,,
2023-03-08,10.28,10.34,636648,10.38,10.27,10.34,2242,8.031,8.078,636648,8.11,8.024,8.078,,
2023-03-09,10.35,10.09,346423,10.35,10.09,10.25,1677,8.086,7.883,346423,8.086,7.883,8.008,,
2023-03-10,10.03,9.985,390502,10.06,9.885,9.961,1956,7.915,7.879,390502,7.938,7.8,7.86,0.1,
2023-03-13,9.945,9.605,632878,9.965,9.585,9.753,3344,7.848,7.579,632878,7.863,7.563,7.696,,
2023-03-14,9.775,9.775,163673,9.775,9.685,9.732,993,7.713,7.713,163673,7.713,7.642,7.679,,
2023-03-15,9.625,9.625,243618,9.706,9.555,9.636,1365,7.595,7.595,243618,7.659,7.54,7.604,,
2023-03-16,9.605,9.715,257587,9.745,9.563,9.657,1348,7.579,7.666,257587,7.69,7.546,7.62,,
2023-03-17,9.695,9.625,256015,9.745,9.565,9.636,1499,7.65,7.595,256015,7.69,7.548,7.604,,
2023-03-20,9.685,9.685,329614,9.755,9.665,9.705,1577,7.642,7.642,329614,7.698,7.627,7.658,,
2023-03-21,9.775,9.765,181624,9.805,9.715,9.765,848,7.713,7.705,181624,7.737,7.666,7.705,,
2023-03-22,9.765,9.645,470048,9.765,9.625,9.686,2366,7.705,7.611,470048,7.705,7.595,7.643,,
2023-03-23,9.775,9.665,254654,9.795,9.625,9.703,1070,7.713,7.627,254654,7.729,7.595,7.657,,
2023-03-24,9.675,9.685,194099,9.725,9.625,9.67,984,7.634,7.642,194099,7.674,7.595,7.631,,
2023-03-27,9.715,9.755,172058,9.78,9.715,9.741,893,7.666,7.698,172058,7.717,7.666,7.687,,
2023-03-28,9.795,9.725,140265,9.82,9.67,9.722,716,7.729,7.674,140265,7.749,7.631,7.672,,
2023-03-29,9.745,9.815,205798,9.825,9.735,9.783,1016,7.69,7.745,205798,7.753,7.682,7.72,,
2023-03-30,9.824,9.944,218824,9.964,9.824,9.922,1224,7.752,7.847,218824,7.863,7.752,7.829,,
2023-03-31,9.944,9.854,810579,10.07,9.854,9.907,3157,7.847,7.776,810579,7.946,7.776,7.818,,
