Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.6,3.67,673476,3.68,3.6,3.647,2104,2.873,2.929,673476,2.937,2.873,2.911,,
2023-03-02,3.66,3.7,363097,3.7,3.63,3.656,1092,2.921,2.953,363097,2.953,2.897,2.918,,
2023-03-03,3.7,3.69,406599,3.72,3.67,3.699,1066,2.953,2.945,406599,2.969,2.929,2.952,,
2023-03-06,3.69,3.66,322575,3.7,3.66,3.676,1058,2.945,2.921,322575,2.953,2.921,2.934,,
2023-03-07,3.65,3.59,471097,3.66,3.56,3.61,1285,2.913,2.865,471097,2.921,2.841,2.881,,
2023-03-08,3.59,3.6,366647,3.63,3.579,3.601,1063,2.865,2.873,366647,2.897,2.857,2.874,,
2023-03-09,3.61,3.58,213367,3.63,3.57,3.599,674,2.881,2.857,213367,2.897,2.849,2.873,,
2023-03-10,3.592,3.552,726362,3.642,3.532,3.582,2060,2.867,2.835,726362,2.907,2.819,2.859,,
2023-03-13,3.592,3.582,757819,3.62,3.562,3.6,2160,2.867,2.859,757819,2.889,2.843,2.873,,
2023-03-14,3.612,3.602,663674,3.637,3.582,3.611,2486,2.883,2.875,663674,2.903,2.859,2.882,,
2023-03-15,3.592,3.512,824928,3.592,3.512,3.537,2866,2.867,2.803,824928,2.867,2.803,2.823,,
2023-03-16,3.502,3.482,660056,3.512,3.432,3.463,1832,2.819,2.803,660056,2.827,2.763,2.788,0.03,
2023-03-17,3.492,3.532,500720,3.562,3.483,3.532,1407,2.811,2.843,500720,2.868,2.804,2.843,,
2023-03-20,3.552,3.582,451551,3.592,3.552,3.569,1405,2.859,2.884,451551,2.892,2.859,2.873,,
2023-03-21,3.582,3.582,518928,3.602,3.562,3.575,1959,2.884,2.884,518928,2.9,2.868,2.878,,
2023-03-22,3.582,3.572,532537,3.612,3.552,3.584,1879,2.884,2.876,532537,2.908,2.859,2.885,,
2023-03-23,3.582,3.562,871762,3.622,3.552,3.587,2513,2.884,2.868,871762,2.916,2.859,2.888,,
2023-03-24,3.572,3.562,752523,3.592,3.552,3.568,2702,2.876,2.868,752523,2.892,2.859,2.872,,
2023-03-27,3.572,3.602,489276,3.617,3.552,3.585,1949,2.876,2.9,489276,2.912,2.859,2.886,,
2023-03-28,3.592,3.622,597326,3.652,3.581,3.624,2156,2.892,2.916,597326,2.94,2.883,2.917,,
2023-03-29,3.622,3.632,367556,3.652,3.621,3.636,1188,2.916,2.924,367556,2.94,2.915,2.927,,
2023-03-30,3.641,3.641,455513,3.671,3.641,3.656,1440,2.931,2.931,455513,2.955,2.931,2.943,,
2023-03-31,3.661,3.661,476514,3.671,3.641,3.652,1966,2.947,2.947,476514,2.955,2.931,2.94,,
