Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.15,10.2,34655,10.22,10.12,10.16,243,8.693,8.736,34655,8.753,8.667,8.701,,
2023-03-02,10.18,10.2,40209,10.26,10.14,10.19,211,8.719,8.736,40209,8.787,8.684,8.727,,
2023-03-03,10.21,10.32,25783,10.35,10.2,10.29,154,8.744,8.838,25783,8.864,8.736,8.813,,
2023-03-06,10.35,10.28,26121,10.36,10.27,10.33,121,8.864,8.804,26121,8.873,8.796,8.847,,
2023-03-07,10.22,10.1,52631,10.25,10.05,10.12,369,8.753,8.65,52631,8.779,8.607,8.667,,
2023-03-08,10.06,10.04,21162,10.12,10.02,10.06,139,8.616,8.599,21162,8.667,8.582,8.616,,
2023-03-09,10.02,9.929,30875,10.13,9.914,10.03,170,8.582,8.504,30875,8.676,8.491,8.59,,
2023-03-10,9.965,9.825,26027,9.965,9.765,9.842,157,8.534,8.415,26027,8.534,8.363,8.429,,
2023-03-13,9.775,9.815,24531,9.963,9.658,9.824,197,8.372,8.406,24531,8.533,8.272,8.414,,
2023-03-14,9.825,9.885,52830,9.995,9.817,9.901,300,8.415,8.466,52830,8.56,8.408,8.48,,
2023-03-15,9.815,9.765,22326,9.815,9.715,9.757,159,8.406,8.363,22326,8.406,8.32,8.356,,
2023-03-16,9.555,9.665,41006,9.725,9.555,9.676,254,8.311,8.407,41006,8.459,8.311,8.416,0.15,
2023-03-17,9.685,9.495,22811,9.685,9.495,9.555,213,8.424,8.259,22811,8.424,8.259,8.311,,
2023-03-20,9.465,9.605,36634,9.675,9.465,9.628,220,8.233,8.355,36634,8.415,8.233,8.375,,
2023-03-21,9.695,9.705,26605,9.765,9.665,9.717,198,8.433,8.442,26605,8.494,8.407,8.452,,
2023-03-22,9.785,9.665,21823,9.885,9.655,9.788,230,8.511,8.407,21823,8.598,8.398,8.514,,
2023-03-23,9.745,9.565,37229,9.755,9.525,9.673,203,8.476,8.32,37229,8.485,8.285,8.414,,
2023-03-24,9.565,9.765,44268,9.765,9.515,9.629,282,8.32,8.494,44268,8.494,8.276,8.375,,
2023-03-27,9.715,9.845,50825,9.955,9.715,9.868,258,8.45,8.563,50825,8.659,8.45,8.583,,
2023-03-28,9.855,9.835,13636,9.92,9.825,9.923,116,8.572,8.555,13636,8.629,8.546,8.631,,
2023-03-29,9.915,9.905,11149,9.926,9.89,9.908,91,8.624,8.615,11149,8.634,8.602,8.618,,
2023-03-30,9.904,9.964,16832,10,9.904,9.965,123,8.615,8.667,16832,8.698,8.615,8.668,,
2023-03-31,9.974,10.09,25172,10.1,9.974,10.07,166,8.675,8.776,25172,8.785,8.675,8.759,,
