Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.57,9.46,512247,9.64,9.36,9.449,2277,7.639,7.552,512247,7.695,7.472,7.543,,
2023-03-02,9.44,9.36,369551,9.445,9.26,9.342,1777,7.536,7.472,369551,7.54,7.392,7.457,,
2023-03-03,9.37,9.45,296189,9.57,9.37,9.461,1364,7.48,7.544,296189,7.639,7.48,7.552,,
2023-03-06,9.47,9.55,136747,9.59,9.45,9.526,732,7.559,7.623,136747,7.655,7.544,7.604,,
2023-03-07,9.55,9.36,289773,9.57,9.27,9.4,1776,7.623,7.472,289773,7.639,7.4,7.504,,
2023-03-08,9.319,9.449,212517,9.499,9.299,9.416,1178,7.439,7.543,212517,7.583,7.423,7.516,,
2023-03-09,9.549,9.489,334629,9.639,9.479,9.578,1447,7.623,7.575,334629,7.694,7.567,7.646,,
2023-03-10,9.525,9.295,350039,9.528,9.045,9.267,2011,7.603,7.42,350039,7.606,7.22,7.397,,
2023-03-13,9.185,8.884,339738,9.195,8.864,8.98,2094,7.332,7.092,339738,7.34,7.076,7.168,,
2023-03-14,9.025,9.155,202179,9.165,8.994,9.077,1317,7.204,7.308,202179,7.316,7.18,7.246,,
2023-03-15,9.125,9.035,133956,9.145,9.005,9.052,649,7.284,7.212,133956,7.3,7.188,7.226,,
2023-03-16,9.065,9.285,358755,9.285,9.055,9.16,1783,7.236,7.412,358755,7.412,7.228,7.312,,
2023-03-17,9.285,9.065,186813,9.305,9.065,9.131,1150,7.412,7.236,186813,7.428,7.236,7.289,,
2023-03-20,9.065,9.095,189906,9.195,9.065,9.112,880,7.236,7.26,189906,7.34,7.236,7.274,,
2023-03-21,9.235,9.185,152110,9.252,9.175,9.215,751,7.372,7.332,152110,7.385,7.324,7.356,,
2023-03-22,9.225,9.305,164704,9.355,9.205,9.312,868,7.364,7.428,164704,7.468,7.348,7.433,,
2023-03-23,9.225,9.235,147753,9.375,9.225,9.305,888,7.425,7.433,147753,7.546,7.425,7.49,0.077,
2023-03-24,9.205,9.075,153286,9.255,9.035,9.079,1251,7.409,7.305,153286,7.45,7.272,7.308,,
2023-03-27,9.125,8.904,275772,9.155,8.894,8.987,1770,7.345,7.167,275772,7.369,7.159,7.234,,
2023-03-28,8.954,8.764,250024,8.969,8.744,8.839,1545,7.207,7.054,250024,7.219,7.038,7.115,,
2023-03-29,8.784,8.704,306921,8.814,8.689,8.735,1644,7.07,7.006,306921,7.095,6.994,7.031,,
2023-03-30,8.703,8.663,286716,8.774,8.653,8.69,1915,7.005,6.973,286716,7.062,6.965,6.995,,
2023-03-31,8.713,8.794,374631,8.814,8.653,8.716,1956,7.013,7.078,374631,7.095,6.965,7.016,,
