Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,15.1,14.96,63967,15.12,14.9,14.97,438,11.97,11.86,63967,11.99,11.82,11.87,,
2023-03-02,14.95,14.95,38141,14.95,14.85,14.89,258,11.85,11.85,38141,11.85,11.78,11.81,,
2023-03-03,15.03,15.14,28508,15.19,15.01,15.09,192,11.92,12.01,28508,12.05,11.9,11.97,,
2023-03-06,15.19,15.2,44366,15.26,15.04,15.16,181,12.05,12.05,44366,12.1,11.93,12.02,,
2023-03-07,15.3,15.26,21559,15.3,15.16,15.22,132,12.13,12.1,21559,12.13,12.02,12.07,,
2023-03-08,15.32,15.23,23157,15.37,15.15,15.21,180,12.15,12.08,23157,12.19,12.01,12.06,,
2023-03-09,15.33,15,39531,15.33,14.81,15.14,262,12.16,11.89,39531,12.16,11.74,12.01,,
2023-03-10,14.8,14.41,56177,14.8,14.41,14.61,344,11.82,11.51,56177,11.82,11.51,11.67,0.11,
2023-03-13,14.22,13.97,104306,14.22,13.69,13.99,670,11.36,11.16,104306,11.36,10.94,11.18,,
2023-03-14,14.14,14.19,92219,14.62,14.07,14.34,496,11.3,11.34,92219,11.68,11.24,11.46,,
2023-03-15,14.08,13.82,66814,14.08,13.76,13.86,354,11.25,11.04,66814,11.25,10.99,11.07,,
2023-03-16,13.88,14.31,57296,14.34,13.78,14.07,302,11.09,11.43,57296,11.46,11.01,11.24,,
2023-03-17,14.31,13.96,47256,14.31,13.96,14.03,246,11.43,11.15,47256,11.43,11.15,11.21,,
2023-03-20,14.09,13.72,78041,14.09,13.67,13.81,438,11.26,10.96,78041,11.26,10.92,11.03,,
2023-03-21,13.76,14.11,80879,14.21,13.61,13.79,513,10.99,11.27,80879,11.35,10.87,11.02,,
2023-03-22,14.07,13.96,41759,14.21,13.96,14.03,231,11.24,11.15,41759,11.35,11.15,11.21,,
2023-03-23,14.04,14,29803,14.1,13.91,14.03,136,11.22,11.18,29803,11.26,11.11,11.21,,
2023-03-24,13.96,13.94,24271,14.1,13.9,14.01,150,11.15,11.14,24271,11.26,11.1,11.19,,
2023-03-27,13.94,14,62175,14.14,13.93,14.02,316,11.14,11.18,62175,11.3,11.13,11.2,,
2023-03-28,14.1,14.21,30572,14.29,14.06,14.19,185,11.26,11.35,30572,11.42,11.23,11.34,,
2023-03-29,14.37,14.75,39633,14.85,14.22,14.55,333,11.48,11.78,39633,11.86,11.36,11.62,,
2023-03-30,14.77,14.46,56439,14.77,14.25,14.44,397,11.8,11.55,56439,11.8,11.38,11.54,,
2023-03-31,14.68,14.64,148511,15.13,14.58,14.84,598,11.73,11.69,148511,12.09,11.65,11.85,,
