Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,19.47,19.62,61918,19.69,19.47,19.6,302,15.97,16.09,61918,16.15,15.97,16.07,,
2023-03-02,19.65,19.58,36036,19.65,19.56,19.59,249,16.12,16.06,36036,16.12,16.04,16.07,,
2023-03-03,19.61,19.73,29278,19.79,19.61,19.71,151,16.08,16.18,29278,16.23,16.08,16.16,,
2023-03-06,19.79,19.66,38440,19.81,19.63,19.73,209,16.23,16.12,38440,16.25,16.1,16.18,,
2023-03-07,19.63,19.59,24963,19.74,19.59,19.64,168,16.1,16.07,24963,16.19,16.07,16.11,,
2023-03-08,19.58,19.63,35745,19.68,19.58,19.64,168,16.06,16.1,35745,16.14,16.06,16.11,,
2023-03-09,19.59,19.32,38043,19.71,19.31,19.55,196,16.07,15.84,38043,16.16,15.84,16.03,,
2023-03-10,19.3,19.01,68859,19.31,19.01,19.16,383,15.83,15.59,68859,15.84,15.59,15.71,,
2023-03-13,18.73,18.47,58120,18.73,18.28,18.46,407,15.36,15.15,58120,15.36,14.99,15.14,,
2023-03-14,18.69,18.4,46246,18.98,18.32,18.56,287,15.42,15.18,46246,15.66,15.12,15.32,0.115,
2023-03-15,18.34,17.95,37903,18.35,17.82,18.08,215,15.14,14.81,37903,15.14,14.71,14.92,,
2023-03-16,17.8,17.79,52713,18,17.58,17.74,350,14.69,14.68,52713,14.85,14.51,14.64,,
2023-03-17,17.76,17.1,39338,17.76,17.08,17.34,270,14.66,14.11,39338,14.66,14.1,14.31,,
2023-03-20,17,16.4,114417,17,16.37,16.58,610,14.03,13.53,114417,14.03,13.51,13.68,,
2023-03-21,16.5,16.19,107346,16.58,16.12,16.29,667,13.62,13.36,107346,13.68,13.3,13.44,,
2023-03-22,16.25,16.23,65674,16.41,16.15,16.28,480,13.41,13.39,65674,13.54,13.33,13.44,,
2023-03-23,16.3,16.41,52753,16.55,16.3,16.42,319,13.45,13.54,52753,13.66,13.45,13.55,,
2023-03-24,16.38,16.42,43493,16.52,16.17,16.34,347,13.52,13.55,43493,13.63,13.34,13.48,,
2023-03-27,16.54,16.57,67357,16.69,16.36,16.51,559,13.65,13.67,67357,13.77,13.5,13.62,,
2023-03-28,16.65,16.49,51581,16.74,16.44,16.65,368,13.74,13.61,51581,13.81,13.57,13.74,,
2023-03-29,16.56,16.73,50047,16.89,16.56,16.73,174,13.67,13.81,50047,13.94,13.67,13.81,,
2023-03-30,16.86,16.96,51030,17.05,16.84,16.95,257,13.91,14,51030,14.07,13.9,13.99,,
2023-03-31,17.06,17.64,87796,17.64,17.03,17.38,418,14.08,14.56,87796,14.56,14.05,14.34,,
