Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.68,10.62,30241,10.95,10.62,10.74,178,9.461,9.407,30241,9.7,9.407,9.514,,
2023-03-02,10.66,10.52,27266,10.68,10.49,10.55,259,9.443,9.319,27266,9.461,9.292,9.345,,
2023-03-03,10.61,10.52,45973,10.71,10.44,10.5,395,9.399,9.319,45973,9.487,9.248,9.301,,
2023-03-06,10.57,10.48,41297,10.6,10.46,10.53,302,9.363,9.283,41297,9.39,9.266,9.328,,
2023-03-07,10.45,10.49,48335,10.6,10.45,10.52,181,9.257,9.292,48335,9.39,9.257,9.319,,
2023-03-08,10.65,10.47,34233,10.65,10.45,10.52,93,9.434,9.275,34233,9.434,9.257,9.319,,
2023-03-09,10.6,10.57,48240,10.64,10.49,10.56,326,9.39,9.363,48240,9.425,9.292,9.354,,
2023-03-10,10.68,10.64,10464,10.75,10.54,10.64,112,9.461,9.425,10464,9.523,9.337,9.425,,
2023-03-13,10.7,10.73,67771,10.92,10.6,10.76,376,9.478,9.505,67771,9.673,9.39,9.531,,
2023-03-14,10.83,10.82,29211,10.99,10.77,10.88,119,9.593,9.585,29211,9.735,9.54,9.638,,
2023-03-15,10.86,10.87,16816,10.99,10.7,10.81,84,9.62,9.629,16816,9.735,9.478,9.576,,
2023-03-16,10.82,11.02,102752,11.18,10.73,11.01,577,9.627,9.805,102752,9.947,9.547,9.796,0.0475,
2023-03-17,11.86,10.85,23360,11.86,10.84,11.32,90,10.55,9.653,23360,10.55,9.645,10.07,,
2023-03-20,10.84,10.81,24603,10.89,10.75,10.82,108,9.645,9.618,24603,9.689,9.564,9.627,,
2023-03-21,10.79,10.63,21787,10.88,10.63,10.75,140,9.6,9.458,21787,9.68,9.458,9.564,,
2023-03-22,10.61,10.66,21984,10.87,10.58,10.75,127,9.44,9.484,21984,9.671,9.413,9.564,,
2023-03-23,10.6,10.86,30387,11.06,10.58,10.8,77,9.431,9.662,30387,9.84,9.413,9.609,,
2023-03-24,10.86,11.06,45230,11.15,10.82,11,365,9.662,9.84,45230,9.92,9.627,9.787,,
2023-03-27,11.07,10.98,8602,11.07,10.91,11.01,75,9.849,9.769,8602,9.849,9.707,9.796,,
2023-03-28,11.06,11,71699,11.06,10.91,10.97,435,9.84,9.787,71699,9.84,9.707,9.76,,
2023-03-29,11.04,10.9,14493,11.04,10.84,10.9,114,9.822,9.698,14493,9.822,9.645,9.698,,
2023-03-30,10.87,10.96,9842,10.99,10.87,10.91,131,9.671,9.751,9842,9.778,9.671,9.707,,
2023-03-31,11.05,10.92,49024,11.15,10.82,10.93,266,9.831,9.716,49024,9.92,9.627,9.725,,
