Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.7,16.97,87473,16.97,16.62,16.71,437,14.6,14.84,87473,14.84,14.53,14.61,,
2023-03-02,16.92,16.94,40608,16.99,16.84,16.94,200,14.8,14.81,40608,14.86,14.73,14.81,,
2023-03-03,16.98,17.28,39259,17.29,16.59,17.16,223,14.85,15.11,39259,15.12,14.51,15.01,,
2023-03-06,17.28,17.22,15230,17.3,17.18,17.25,127,15.11,15.06,15230,15.13,15.02,15.08,,
2023-03-07,17.16,16.95,61464,17.16,16.9,16.98,383,15.01,14.82,61464,15.01,14.78,14.85,,
2023-03-08,16.85,17.07,21393,17.14,16.85,17.03,132,14.73,14.93,21393,14.99,14.73,14.89,,
2023-03-09,17.08,16.76,6572,17.15,16.76,16.99,63,14.94,14.66,6572,15,14.66,14.86,,
2023-03-10,16.62,16.3,19874,16.62,16.29,16.42,133,14.53,14.25,19874,14.53,14.25,14.36,,
2023-03-13,16.1,15.97,58974,16.52,15.86,16.06,320,14.08,13.97,58974,14.45,13.87,14.04,,
2023-03-14,16.25,16.34,20346,16.66,16.25,16.45,123,14.21,14.29,20346,14.57,14.21,14.39,,
2023-03-15,16.28,15.82,66771,16.28,15.82,15.9,199,14.24,13.83,66771,14.24,13.83,13.9,,
2023-03-16,15.82,16.04,54767,16.63,15.67,15.94,255,13.83,14.03,54767,14.54,13.7,13.94,,
2023-03-17,16.07,15.74,11773,16.07,15.73,15.81,98,14.05,13.76,11773,14.05,13.76,13.83,,
2023-03-20,15.86,15.88,10741,16.07,15.78,15.92,44,13.87,13.89,10741,14.05,13.8,13.92,,
2023-03-21,15.94,16.18,31804,16.18,15.92,16.03,116,13.94,14.15,31804,14.15,13.92,14.02,,
2023-03-22,16.17,16.19,48499,16.53,16.15,16.25,249,14.14,14.16,48499,14.46,14.12,14.21,,
2023-03-23,16.25,16.18,19397,16.35,16.11,16.26,142,14.21,14.15,19397,14.3,14.09,14.22,,
2023-03-24,16.15,16.37,5181,16.42,16.11,16.3,43,14.12,14.32,5181,14.36,14.09,14.25,,
2023-03-27,16.43,16.43,12898,16.53,16.33,16.4,88,14.37,14.37,12898,14.46,14.28,14.34,,
2023-03-28,16.48,16.67,20952,16.74,16.48,16.61,125,14.41,14.58,20952,14.64,14.41,14.53,,
2023-03-29,16.73,16.93,41470,16.94,16.71,16.8,112,14.63,14.8,41470,14.81,14.61,14.69,,
2023-03-30,17.07,16.98,11768,17.07,16.9,16.97,102,14.93,14.85,11768,14.93,14.78,14.84,,
2023-03-31,17.04,17.03,23879,17.18,17.01,17.04,134,14.9,14.89,23879,15.02,14.87,14.9,,
