Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.13,6.98,225467,7.31,6.98,7.117,1107,5.657,5.538,225467,5.799,5.538,5.646,,
2023-03-02,7.05,7.06,160179,7.19,6.92,7.018,966,5.593,5.601,160179,5.704,5.49,5.568,,
2023-03-03,7.04,7.07,153467,7.17,7.01,7.097,709,5.585,5.609,153467,5.688,5.561,5.63,,
2023-03-06,7.09,7.05,116043,7.16,7.05,7.087,580,5.625,5.593,116043,5.68,5.593,5.623,,
2023-03-07,7.09,7.04,90400,7.113,6.99,7.036,448,5.625,5.585,90400,5.643,5.546,5.582,,
2023-03-08,6.999,6.96,91067,7.089,6.919,6.983,380,5.553,5.522,91067,5.624,5.489,5.54,,
2023-03-09,7.079,6.949,100142,7.189,6.924,7.003,338,5.616,5.513,100142,5.703,5.493,5.556,,
2023-03-10,7.024,6.743,113511,7.037,6.693,6.846,663,5.573,5.35,113511,5.583,5.31,5.431,,
2023-03-13,6.663,6.543,162320,6.833,6.523,6.641,602,5.286,5.191,162320,5.421,5.175,5.269,,
2023-03-14,6.503,6.473,208452,6.72,6.463,6.556,454,5.206,5.182,208452,5.379,5.174,5.248,0.0584,
2023-03-15,6.403,6.293,390091,6.473,6.153,6.235,1513,5.126,5.038,390091,5.182,4.926,4.991,,
2023-03-16,6.273,6.523,307024,6.533,6.143,6.346,972,5.022,5.222,307024,5.23,4.918,5.08,,
2023-03-17,6.483,6.393,122618,6.583,6.233,6.371,587,5.19,5.118,122618,5.27,4.99,5.1,,
2023-03-20,6.443,6.383,75331,6.573,6.373,6.48,432,5.158,5.11,75331,5.262,5.102,5.187,,
2023-03-21,6.493,6.433,81944,6.583,6.433,6.494,468,5.198,5.15,81944,5.27,5.15,5.199,,
2023-03-22,6.493,6.433,83277,6.593,6.433,6.519,464,5.198,5.15,83277,5.278,5.15,5.219,,
2023-03-23,6.503,6.223,152842,6.585,6.223,6.415,788,5.206,4.982,152842,5.271,4.982,5.135,,
2023-03-24,6.213,6.253,175215,6.383,6.213,6.279,754,4.974,5.006,175215,5.11,4.974,5.026,,
2023-03-27,6.303,6.263,264997,6.366,6.263,6.318,714,5.046,5.014,264997,5.096,5.014,5.058,,
2023-03-28,6.313,6.323,237462,6.373,6.273,6.311,675,5.054,5.062,237462,5.102,5.022,5.052,,
2023-03-29,6.343,6.433,79225,6.453,6.342,6.402,362,5.078,5.15,79225,5.166,5.077,5.125,,
2023-03-30,6.513,6.523,85663,6.533,6.453,6.498,255,5.214,5.222,85663,5.23,5.166,5.202,,
2023-03-31,6.633,6.573,91254,6.643,6.545,6.59,477,5.31,5.262,91254,5.318,5.239,5.275,,
