Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.98,10.91,15469,11.06,10.9,10.98,150,8.017,7.966,15469,8.075,7.958,8.017,,
2023-03-02,10.9,10.87,33551,10.9,10.77,10.83,185,7.958,7.936,33551,7.958,7.863,7.907,,
2023-03-03,10.85,10.91,27907,10.96,10.82,10.88,130,7.922,7.966,27907,8.002,7.9,7.944,,
2023-03-06,10.85,10.74,25328,10.85,10.73,10.8,185,7.922,7.842,25328,7.922,7.834,7.885,,
2023-03-07,10.79,10.6,23230,10.79,10.51,10.6,165,7.878,7.739,23230,7.878,7.674,7.739,,
2023-03-08,10.56,10.59,23640,10.65,10.56,10.59,142,7.71,7.732,23640,7.776,7.71,7.732,,
2023-03-09,10.56,10.27,38974,10.59,10.27,10.4,281,7.71,7.498,38974,7.732,7.498,7.593,,
2023-03-10,10.28,10.05,27562,10.28,10,10.11,234,7.506,7.338,27562,7.506,7.301,7.382,,
2023-03-13,9.935,10.04,13450,10.15,9.935,10.08,121,7.254,7.33,13450,7.411,7.254,7.36,,
2023-03-14,10.09,9.825,215333,10.32,9.695,9.863,656,7.367,7.173,215333,7.535,7.079,7.201,,
2023-03-15,9.715,9.815,61407,9.895,9.695,9.794,390,7.093,7.166,61407,7.225,7.079,7.151,,
2023-03-16,9.765,9.735,27567,9.855,9.725,9.793,193,7.207,7.185,27567,7.273,7.177,7.227,0.105,
2023-03-17,9.715,9.595,17473,9.765,9.579,9.654,194,7.17,7.081,17473,7.207,7.07,7.125,,
2023-03-20,9.635,9.685,8923,9.725,9.595,9.677,107,7.111,7.148,8923,7.177,7.081,7.142,,
2023-03-21,9.685,9.655,54312,9.825,9.585,9.697,443,7.148,7.126,54312,7.251,7.074,7.157,,
2023-03-22,9.615,9.37,32482,9.615,9.37,9.507,296,7.096,6.915,32482,7.096,6.915,7.016,,
2023-03-23,9.425,9.435,53114,9.515,9.295,9.437,294,6.956,6.963,53114,7.022,6.86,6.965,,
2023-03-24,9.445,9.395,63992,9.485,9.38,9.437,397,6.971,6.934,63992,7,6.923,6.965,,
2023-03-27,9.445,9.425,35489,9.505,9.415,9.452,304,6.971,6.956,35489,7.015,6.949,6.976,,
2023-03-28,9.455,9.345,18037,9.455,9.315,9.375,161,6.978,6.897,18037,6.978,6.875,6.919,,
2023-03-29,9.415,9.375,16532,9.475,9.355,9.397,145,6.949,6.919,16532,6.993,6.904,6.935,,
2023-03-30,9.424,9.384,22769,9.468,9.384,9.412,96,6.955,6.926,22769,6.988,6.926,6.946,,
2023-03-31,9.404,9.464,65435,9.514,9.404,9.449,393,6.94,6.985,65435,7.022,6.94,6.974,,
