Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,12.46,12.46,31657,12.51,12.4,12.45,299,11.32,11.32,31657,11.37,11.27,11.31,,
2023-03-02,12.44,12.52,61066,12.55,12.41,12.5,439,11.3,11.38,61066,11.4,11.28,11.36,,
2023-03-03,12.65,12.65,54888,12.7,12.62,12.66,308,11.5,11.5,54888,11.54,11.47,11.5,,
2023-03-06,12.7,12.76,38074,12.81,12.69,12.74,242,11.54,11.6,38074,11.64,11.53,11.58,,
2023-03-07,12.76,12.5,88263,12.76,12.5,12.59,455,11.6,11.36,88263,11.6,11.36,11.44,,
2023-03-08,12.51,12.46,70240,12.55,12.42,12.48,353,11.37,11.32,70240,11.4,11.29,11.34,,
2023-03-09,12.5,12.21,59967,12.55,12.2,12.41,353,11.36,11.1,59967,11.4,11.09,11.28,,
2023-03-10,12.25,12.06,74000,12.29,12.05,12.14,470,11.13,10.96,74000,11.17,10.95,11.03,,
2023-03-13,12.01,11.94,91027,12.16,11.94,12.05,635,10.91,10.85,91027,11.05,10.85,10.95,,
2023-03-14,12.07,12.13,90701,12.19,11.99,12.08,609,10.97,11.02,90701,11.08,10.9,10.98,,
2023-03-15,11.88,11.87,102133,11.94,11.82,11.87,858,10.8,10.79,102133,10.85,10.74,10.79,,
2023-03-16,11.77,12,91742,12.1,11.77,11.98,529,10.7,10.9,91742,11,10.7,10.89,,
2023-03-17,11.89,11.78,68494,11.92,11.76,11.82,543,10.8,10.7,68494,10.83,10.69,10.74,,
2023-03-20,11.86,11.95,84235,12.02,11.85,11.95,485,10.78,10.86,84235,10.92,10.77,10.86,,
2023-03-21,12.11,12.09,63787,12.17,12.04,12.11,348,11,10.99,63787,11.06,10.94,11,,
2023-03-22,12.08,11.95,122232,12.15,11.92,12.09,771,10.98,10.86,122232,11.04,10.83,10.99,,
2023-03-23,11.96,11.93,85931,12.03,11.88,11.95,633,10.87,10.84,85931,10.93,10.8,10.86,,
2023-03-24,11.82,11.91,56151,11.97,11.78,11.91,1027,10.74,10.82,56151,10.88,10.7,10.82,,
2023-03-27,12.01,11.98,211725,12.06,11.95,12.01,1073,10.91,10.89,211725,10.96,10.86,10.91,,
2023-03-28,11.98,12.01,135061,12.07,11.98,12,874,10.89,10.91,135061,10.97,10.89,10.9,,
2023-03-29,12.02,12.15,69834,12.16,12.02,12.07,223,10.92,11.04,69834,11.05,10.92,10.97,,
2023-03-30,12.21,12.17,48010,12.22,12.14,12.16,214,11.1,11.06,48010,11.1,11.03,11.05,,
2023-03-31,12.16,12.28,153152,12.31,12.16,12.26,699,11.05,11.16,153152,11.19,11.05,11.14,,
