Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.78,21.6,110036,21.78,21.47,21.6,934,21.78,21.6,110036,21.78,21.47,21.6,,
2023-03-02,21.45,21.4,84512,21.49,21.24,21.36,616,21.45,21.4,84512,21.49,21.24,21.36,,
2023-03-03,21.46,21.56,68535,21.61,21.46,21.56,476,21.46,21.56,68535,21.61,21.46,21.56,,
2023-03-06,21.64,21.51,69662,21.69,21.51,21.62,565,21.64,21.51,69662,21.69,21.51,21.62,,
2023-03-07,21.53,21.36,55739,21.55,21.35,21.42,389,21.53,21.36,55739,21.55,21.35,21.42,,
2023-03-08,21.37,21.19,144707,21.43,21.19,21.33,1008,21.37,21.19,144707,21.43,21.19,21.33,,
2023-03-09,21.2,20.88,103521,21.24,20.75,21.02,864,21.2,20.88,103521,21.24,20.75,21.02,,
2023-03-10,20.82,20.75,74912,21.25,20.52,20.88,623,20.82,20.75,74912,21.25,20.52,20.88,,
2023-03-13,19.82,20.61,134255,20.71,19.81,20.35,1029,19.82,20.61,134255,20.71,19.81,20.35,,
2023-03-14,20.82,21.42,193980,21.46,20.82,21.3,1396,20.82,21.42,193980,21.46,20.82,21.3,,
2023-03-15,21.15,20.9,141511,21.34,20.88,21.12,1150,21.15,20.9,141511,21.34,20.88,21.12,,
2023-03-16,20.68,21.22,180183,21.45,20.68,21.12,1442,20.68,21.22,180183,21.45,20.68,21.12,,
2023-03-17,21.28,21.06,110135,21.32,20.84,21.06,883,21.28,21.06,110135,21.32,20.84,21.06,,
2023-03-20,21.09,20.76,99122,21.16,20.69,20.87,803,21.09,20.76,99122,21.16,20.69,20.87,,
2023-03-21,20.96,20.75,200948,21.03,20.6,20.81,979,20.96,20.75,200948,21.03,20.6,20.81,,
2023-03-22,20.7,21.07,152525,21.24,20.7,21.03,1153,20.7,21.07,152525,21.24,20.7,21.03,,
2023-03-23,21.09,20.98,134190,21.26,20.98,21.11,760,21.09,20.98,134190,21.26,20.98,21.11,,
2023-03-24,20.94,21.08,126377,21.14,20.72,20.85,804,20.94,21.08,126377,21.14,20.72,20.85,,
2023-03-27,21.24,21.32,125733,21.4,21.17,21.28,880,21.24,21.32,125733,21.4,21.17,21.28,,
2023-03-28,21.32,21.25,66485,21.38,21.19,21.31,476,21.32,21.25,66485,21.38,21.19,21.31,,
2023-03-29,21.37,21.46,236268,21.56,21.28,21.47,1127,21.37,21.46,236268,21.56,21.28,21.47,,
2023-03-30,21.51,21.42,131175,21.61,21.38,21.49,829,21.51,21.42,131175,21.61,21.38,21.49,,
2023-03-31,21.46,21.32,191065,21.59,21.32,21.38,758,21.46,21.32,191065,21.59,21.32,21.38,,
