Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-03,27.3,27.3,502,27.3,27.3,27.31,3,22.96,22.96,502,22.96,22.96,22.97,,
2023-03-06,27.46,27.46,102,27.46,27.46,27.45,2,23.09,23.09,102,23.09,23.09,23.08,,
2023-03-07,27.15,27.12,1591,27.15,27.12,27.18,24,22.83,22.81,1591,22.83,22.81,22.86,,
2023-03-08,27.16,27.2,1600,27.2,27.16,27.21,183,22.84,22.87,1600,22.87,22.84,22.88,,
2023-03-09,27.25,27.25,1179,27.25,27.25,27.25,9,22.91,22.91,1179,22.91,22.91,22.91,,
2023-03-10,27.11,27.09,1912,27.13,27.03,27.08,11,22.8,22.78,1912,22.81,22.73,22.77,,
2023-03-13,27.04,27.09,602,27.09,27.04,27.03,14,22.74,22.78,602,22.78,22.74,22.73,,
2023-03-14,26.64,26.64,450,26.64,26.64,26.64,1,22.4,22.4,450,22.4,22.4,22.4,,
2023-03-15,26.64,26.51,825,26.64,26.51,26.6,9,22.4,22.29,825,22.4,22.29,22.37,,
2023-03-16,29.16,29.16,253,29.16,29.16,29.14,4,24.52,24.52,253,24.52,24.52,24.5,,
2023-03-20,27.35,27.35,137,27.35,27.35,27.33,4,23,23,137,23,23,22.98,,
2023-03-21,26.96,26.96,110,26.96,26.96,26.96,2,22.67,22.67,110,22.67,22.67,22.67,,
2023-03-23,27.1,27.1,2038,27.11,27.1,27.1,15,22.79,22.79,2038,22.8,22.79,22.79,,
2023-03-24,27.01,27.26,2930,27.26,27.01,27.22,23,22.71,22.92,2930,22.92,22.71,22.89,,
2023-03-27,27.26,27.26,102,27.26,27.26,27.25,3,22.92,22.92,102,22.92,22.92,22.91,,
2023-03-28,26.91,26.91,1112,26.91,26.91,26.93,5,22.63,22.63,1112,22.63,22.63,22.65,,
2023-03-29,27.14,26.62,3562,27.2,26.51,26.95,21,22.82,22.39,3562,22.87,22.29,22.66,,
2023-03-30,26.76,26.51,1170,26.76,26.51,26.55,7,22.89,22.68,1170,22.89,22.68,22.71,0.45,
2023-03-31,26.51,26.51,525,26.95,26.51,26.6,5,22.68,22.68,525,23.05,22.68,22.75,,
