Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.07,21.18,3570,21.22,21.07,21.2,16,21.07,21.18,3570,21.22,21.07,21.2,,
2023-03-02,21.18,21.11,4009,21.24,21.07,21.14,30,21.18,21.11,4009,21.24,21.07,21.14,,
2023-03-03,21.24,21.3,4415,21.3,21.19,21.24,35,21.24,21.3,4415,21.3,21.19,21.24,,
2023-03-06,21.28,21.4,1881,21.4,21.28,21.3,4,21.28,21.4,1881,21.4,21.28,21.3,,
2023-03-07,21.22,21.2,1832,21.22,21.05,21.15,14,21.22,21.2,1832,21.22,21.05,21.15,,
2023-03-08,21.18,21.15,3433,21.18,21.11,21.15,23,21.18,21.15,3433,21.18,21.11,21.15,,
2023-03-09,21.33,20.89,3584,21.35,20.87,20.98,25,21.33,20.89,3584,21.35,20.87,20.98,,
2023-03-10,20.21,20.51,4014,20.84,20.21,20.58,35,20.21,20.51,4014,20.84,20.21,20.58,,
2023-03-13,20.51,20.21,9970,20.51,20.01,20.35,58,20.51,20.21,9970,20.51,20.01,20.35,,
2023-03-14,21.4,20.29,8633,21.4,19.88,20.77,65,21.4,20.29,8633,21.4,19.88,20.77,,
2023-03-15,19.61,19.67,1523,19.67,19.42,19.58,12,19.61,19.67,1523,19.67,19.42,19.58,,
2023-03-16,19.49,20.02,2110,20.05,19.49,19.87,26,19.49,20.02,2110,20.05,19.49,19.87,,
2023-03-17,19.95,19.89,6764,20.18,19.56,19.79,61,19.95,19.89,6764,20.18,19.56,19.79,,
2023-03-20,19.86,19.77,9460,20.23,19.31,19.66,56,19.86,19.77,9460,20.23,19.31,19.66,,
2023-03-21,19.67,20.01,6524,20.31,19.67,20.03,45,19.67,20.01,6524,20.31,19.67,20.03,,
2023-03-22,19.33,20.23,12036,20.37,19.33,20.07,95,19.33,20.23,12036,20.37,19.33,20.07,,
2023-03-23,20.2,20.12,2706,20.2,19.87,20.05,13,20.2,20.12,2706,20.2,19.87,20.05,,
2023-03-24,19.78,19.81,6437,19.96,19.39,19.63,42,19.78,19.81,6437,19.96,19.39,19.63,,
2023-03-27,20.01,20.22,11604,20.45,19.92,20.13,72,20.01,20.22,11604,20.45,19.92,20.13,,
2023-03-28,20.37,20.15,16687,20.37,19.85,20.01,70,20.37,20.15,16687,20.37,19.85,20.01,,
2023-03-29,20.1,20.19,3074,20.3,19.93,20.13,22,20.1,20.19,3074,20.3,19.93,20.13,,
2023-03-30,20.41,20.57,8946,20.68,20.41,20.48,49,20.41,20.57,8946,20.68,20.41,20.48,,
2023-03-31,20.79,20.95,15779,21.01,20.75,20.89,140,20.79,20.95,15779,21.01,20.75,20.89,,
