Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.95,18.86,1617,18.95,18.83,18.87,44,14.45,14.38,1617,14.45,14.36,14.39,,
2023-03-02,18.83,17.98,1110,18.83,17.98,18.8,40,14.36,13.71,1110,14.36,13.71,14.33,,
2023-03-06,18.51,18.7,4959,18.94,18.51,18.71,30,14.11,14.26,4959,14.44,14.11,14.26,,
2023-03-07,18.7,18.7,1924,18.71,18.6,18.67,31,14.26,14.26,1924,14.26,14.18,14.23,,
2023-03-08,18.71,18.5,4469,18.71,18.5,18.56,14,14.26,14.1,4469,14.26,14.1,14.15,,
2023-03-09,18.15,18.15,150,18.15,18.15,18.27,2,13.84,13.84,150,13.84,13.84,13.93,,
2023-03-10,18.09,17.81,2962,18.09,17.81,17.91,24,13.79,13.58,2962,13.79,13.58,13.65,,
2023-03-13,18.46,17.61,2201,18.46,17.61,18.03,10,14.07,13.43,2201,14.07,13.43,13.75,,
2023-03-14,18.21,17.54,2257,18.21,17.53,17.67,19,13.88,13.37,2257,13.88,13.36,13.47,,
2023-03-15,17.77,17.76,2146,17.86,17.76,17.78,20,13.55,13.54,2146,13.62,13.54,13.56,,
2023-03-16,17.91,18.1,26009,18.1,15.54,16.55,187,13.65,13.8,26009,13.8,11.85,12.62,,
2023-03-17,18.85,18.85,1211,18.85,18.85,18.74,8,14.37,14.37,1211,14.37,14.37,14.29,,
2023-03-20,18.01,18.01,3899,18.11,17.99,18.04,41,13.73,13.73,3899,13.81,13.72,13.75,,
2023-03-21,18.16,18.16,8200,18.16,17.86,18.01,25,13.85,13.85,8200,13.85,13.62,13.73,,
2023-03-22,18.01,18.06,608,18.06,18.01,18.04,16,13.73,13.77,608,13.77,13.73,13.75,,
2023-03-23,17.96,17.96,381,17.96,17.96,17.98,9,13.69,13.69,381,13.69,13.69,13.71,,
2023-03-24,17.66,18.01,257,18.01,17.66,17.82,4,13.46,13.73,257,13.73,13.46,13.59,,
2023-03-27,18.06,17.96,5343,18.14,17.31,18.01,53,13.77,13.69,5343,13.83,13.2,13.73,,
2023-03-28,17.96,18.06,2128,18.06,17.96,18.01,22,13.69,13.77,2128,13.77,13.69,13.73,,
2023-03-29,18.01,17.79,5227,18.01,17.24,17.67,73,13.73,13.56,5227,13.73,13.14,13.47,,
2023-03-30,17.12,17.99,10569,18.23,17.1,17.71,126,13.41,14.09,10569,14.28,13.4,13.87,0.476563007,
2023-03-31,18.01,18.01,12029,18.07,17.96,18,76,14.11,14.11,12029,14.16,14.07,14.1,,
