Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.25,16.05,4406,16.25,16.05,16.11,39,16.25,16.05,4406,16.25,16.05,16.11,,
2023-03-02,16.02,16.02,6202,16.05,15.98,16.03,40,16.02,16.02,6202,16.05,15.98,16.03,,
2023-03-03,15.94,16.09,4319,16.2,15.94,16.06,23,15.94,16.09,4319,16.2,15.94,16.06,,
2023-03-06,16.03,16.04,6413,16.12,15.93,16.03,57,16.03,16.04,6413,16.12,15.93,16.03,,
2023-03-07,16.02,15.95,14519,16.06,15.85,15.96,84,16.02,15.95,14519,16.06,15.85,15.96,,
2023-03-08,15.72,15.86,7171,15.93,15.72,15.83,43,15.72,15.86,7171,15.93,15.72,15.83,,
2023-03-09,15.71,15.74,81907,15.98,15.51,15.53,41,15.71,15.74,81907,15.98,15.51,15.53,,
2023-03-10,15.54,15.54,11210,15.71,15.47,15.54,49,15.54,15.54,11210,15.71,15.47,15.54,,
2023-03-13,15.53,15.44,14765,15.53,15.26,15.44,75,15.53,15.44,14765,15.53,15.26,15.44,,
2023-03-14,15.51,15.69,11215,15.87,15.47,15.7,46,15.51,15.69,11215,15.87,15.47,15.7,,
2023-03-15,15.55,15.48,3237,15.64,15.43,15.54,31,15.55,15.48,3237,15.64,15.43,15.54,,
2023-03-16,15.38,15.34,15503,15.41,15.26,15.32,86,15.38,15.34,15503,15.41,15.26,15.32,,
2023-03-17,15.24,15.23,11223,15.29,14.92,15.1,99,15.24,15.23,11223,15.29,14.92,15.1,,
2023-03-20,15.07,15.48,26457,15.72,15.01,15.34,257,15.07,15.48,26457,15.72,15.01,15.34,,
2023-03-21,15.83,15.46,6513,15.83,15.36,15.5,37,15.83,15.46,6513,15.83,15.36,15.5,,
2023-03-22,15.49,15.39,6539,15.61,15.37,15.45,40,15.49,15.39,6539,15.61,15.37,15.45,,
2023-03-23,15.17,15.3,5186,15.3,15.02,15.23,33,15.17,15.3,5186,15.3,15.02,15.23,,
2023-03-24,15.21,14.95,16422,15.21,14.6,14.79,45,15.21,14.95,16422,15.21,14.6,14.79,,
2023-03-27,14.75,15.26,9803,15.26,14.65,14.85,87,14.75,15.26,9803,15.26,14.65,14.85,,
2023-03-28,15.27,14.86,10221,15.27,14.76,15.09,76,15.27,14.86,10221,15.27,14.76,15.09,,
2023-03-29,14.86,14.86,9515,14.92,14.66,14.79,91,14.86,14.86,9515,14.92,14.66,14.79,,
2023-03-30,14.87,15.07,5902,15.08,14.72,14.9,46,14.87,15.07,5902,15.08,14.72,14.9,,
2023-03-31,15.21,15.88,75208,16.47,15.01,15.94,281,15.21,15.88,75208,16.47,15.01,15.94,,
