Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.75,21.7,8039,21.75,21.59,21.67,125,21.75,21.7,8039,21.75,21.59,21.67,,
2023-03-02,21.5,21.42,30711,21.54,21.35,21.44,220,21.5,21.42,30711,21.54,21.35,21.44,,
2023-03-03,21.45,21.56,48370,21.62,21.45,21.55,634,21.45,21.56,48370,21.62,21.45,21.55,,
2023-03-06,21.6,21.54,30473,21.64,21.54,21.6,327,21.6,21.54,30473,21.64,21.54,21.6,,
2023-03-07,21.54,21.45,11007,21.54,21.39,21.46,187,21.54,21.45,11007,21.54,21.39,21.46,,
2023-03-08,21.46,21.45,10553,21.51,21.4,21.45,285,21.46,21.45,10553,21.51,21.4,21.45,,
2023-03-09,21.57,20.94,9391,21.57,20.86,21.11,168,21.57,20.94,9391,21.57,20.86,21.11,,
2023-03-10,20.86,20.59,28345,20.86,20.53,20.68,390,20.86,20.59,28345,20.86,20.53,20.68,,
2023-03-13,20.4,20.38,35901,20.6,20.05,20.36,401,20.4,20.38,35901,20.6,20.05,20.36,,
2023-03-14,20.35,20.37,50843,20.76,20.35,20.53,491,20.35,20.37,50843,20.76,20.35,20.53,,
2023-03-15,20.18,20.46,23792,20.56,20.12,20.39,311,20.18,20.46,23792,20.56,20.12,20.39,,
2023-03-16,20.33,21.04,51985,21.44,20.15,21.06,510,20.33,21.04,51985,21.44,20.15,21.06,,
2023-03-17,21.04,21.81,217965,21.96,20.71,21.67,1466,21.04,21.81,217965,21.96,20.71,21.67,,
2023-03-20,21.78,21.66,45265,21.96,21.63,21.81,377,21.78,21.66,45265,21.96,21.63,21.81,,
2023-03-21,21.67,21.76,20959,21.9,21.66,21.74,250,21.67,21.76,20959,21.9,21.66,21.74,,
2023-03-22,21.73,21.73,17751,21.91,21.66,21.77,265,21.73,21.73,17751,21.91,21.66,21.77,,
2023-03-23,21.72,21.45,27148,21.87,21.44,21.57,300,21.72,21.45,27148,21.87,21.44,21.57,,
2023-03-24,21.57,21.39,16122,21.57,21.33,21.48,253,21.57,21.39,16122,21.57,21.33,21.48,,
2023-03-27,21.46,21.52,38502,22.06,21.38,21.56,361,21.46,21.52,38502,22.06,21.38,21.56,,
2023-03-28,21.65,21.46,24332,21.72,21.46,21.56,454,21.65,21.46,24332,21.72,21.46,21.56,,
2023-03-29,21.48,21.45,36778,21.87,21.43,21.59,483,21.48,21.45,36778,21.87,21.43,21.59,,
2023-03-30,21.56,21.65,45674,21.66,21.46,21.53,594,21.56,21.65,45674,21.66,21.46,21.53,,
2023-03-31,21.8,21.81,283900,22.03,21.61,21.8,602,21.8,21.81,283900,22.03,21.61,21.8,,
