Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.5,20.47,22120,20.8,20.3,20.45,198,20.5,20.47,22120,20.8,20.3,20.45,,
2023-03-02,20.45,20.39,8884,20.52,20.21,20.39,67,20.45,20.39,8884,20.52,20.21,20.39,,
2023-03-03,20.77,20.52,5507,20.9,20.45,20.64,55,20.77,20.52,5507,20.9,20.45,20.64,,
2023-03-06,20.82,20.79,7111,20.85,20.6,20.75,79,20.82,20.79,7111,20.85,20.6,20.75,,
2023-03-07,20.47,20.8,1162,21.02,20.47,20.82,12,20.47,20.8,1162,21.02,20.47,20.82,,
2023-03-08,20.66,20.73,6376,21.13,20.44,20.9,67,20.66,20.73,6376,21.13,20.44,20.9,,
2023-03-09,20.68,20.38,9144,20.89,20.3,20.68,141,20.68,20.38,9144,20.89,20.3,20.68,,
2023-03-10,19.86,19.93,11915,20.05,19.63,19.77,137,19.86,19.93,11915,20.05,19.63,19.77,,
2023-03-13,19.61,19.86,5858,19.86,19.29,19.55,70,19.61,19.86,5858,19.86,19.29,19.55,,
2023-03-14,20.18,20.16,14956,20.63,20.16,20.37,223,20.18,20.16,14956,20.63,20.16,20.37,,
2023-03-15,20.04,20.24,19640,20.46,19.76,19.99,173,20.04,20.24,19640,20.46,19.76,19.99,,
2023-03-16,20.21,20.75,21775,20.97,20.08,20.56,255,20.21,20.75,21775,20.97,20.08,20.56,,
2023-03-17,20.58,20.37,5121,20.62,20.33,20.48,57,20.58,20.37,5121,20.62,20.33,20.48,,
2023-03-20,20.37,19.96,15946,20.37,19.92,20.07,157,20.37,19.96,15946,20.37,19.92,20.07,,
2023-03-21,20.03,20.42,9712,20.42,20.01,20.21,94,20.03,20.42,9712,20.42,20.01,20.21,,
2023-03-22,20.81,20.22,19262,20.81,20.04,20.26,162,20.81,20.22,19262,20.81,20.04,20.26,,
2023-03-23,20.28,20.01,5827,20.4,19.93,20.23,65,20.28,20.01,5827,20.4,19.93,20.23,,
2023-03-24,19.92,20.32,12165,20.32,19.8,19.91,79,19.92,20.32,12165,20.32,19.8,19.91,,
2023-03-27,20.12,20.16,3446,20.26,20.01,20.1,34,20.12,20.16,3446,20.26,20.01,20.1,,
2023-03-28,20.23,20.35,2750,20.35,20.23,20.3,34,20.23,20.35,2750,20.35,20.23,20.3,,
2023-03-29,20.46,20.56,8940,20.74,20.34,20.51,60,20.46,20.56,8940,20.74,20.34,20.51,,
2023-03-30,20.51,20.53,10830,20.7,20.39,20.54,142,20.51,20.53,10830,20.7,20.39,20.54,,
2023-03-31,20.58,20.77,17456,20.81,20.53,20.72,229,20.58,20.77,17456,20.81,20.53,20.72,,
