Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.7,24.7,1033,24.83,24.7,24.73,5,19.56,19.56,1033,19.66,19.56,19.58,,
2023-03-03,25.13,24.91,2893,25.25,24.91,25.09,19,19.9,19.73,2893,20,19.73,19.87,,
2023-03-06,25.01,25.01,125,25.01,25.01,25.01,1,19.81,19.81,125,19.81,19.81,19.81,,
2023-03-07,24.91,24.91,100,24.91,24.91,24.91,1,19.73,19.73,100,19.73,19.73,19.73,,
2023-03-13,24.91,24.91,1107,24.94,24.91,24.89,11,19.73,19.73,1107,19.75,19.73,19.71,,
2023-03-15,23.53,23.8,1245,23.8,23.53,23.74,15,18.63,18.85,1245,18.85,18.63,18.8,,
2023-03-16,23.81,24.76,18043,24.76,21.95,23.75,60,18.86,19.61,18043,19.61,17.38,18.81,,
2023-03-17,24.01,24.03,2421,24.06,24.01,24.02,8,19.01,19.03,2421,19.05,19.01,19.02,,
2023-03-20,24.58,25.2,232,25.2,24.58,24.85,4,19.47,19.96,232,19.96,19.47,19.68,,
2023-03-21,25.25,25.25,227,25.25,25.25,24.91,11,20,20,227,20,20,19.73,,
2023-03-23,24.06,24.46,827,24.46,24.05,24.26,16,19.05,19.37,827,19.37,19.05,19.21,,
2023-03-24,24.14,24.08,11693,24.14,24.01,24.02,26,19.12,19.07,11693,19.12,19.01,19.02,,
2023-03-27,24.16,24.02,12587,24.25,24.01,24.04,33,19.13,19.02,12587,19.2,19.01,19.04,,
2023-03-28,24.01,24.05,3515,24.08,23.85,24,31,19.01,19.05,3515,19.07,18.89,19.01,,
2023-03-29,24.01,24.21,3413,24.46,24.01,24.35,14,19.01,19.17,3413,19.37,19.01,19.28,,
2023-03-30,24.31,24.24,1240,24.31,24.24,24.3,9,19.25,19.2,1240,19.25,19.2,19.24,,
2023-03-31,24.22,24.22,104,24.22,24.22,24.22,1,19.18,19.18,104,19.18,19.18,19.18,,
