Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.05,23.96,2738,24.05,23.85,23.96,26,24.05,23.96,2738,24.05,23.85,23.96,,
2023-03-02,23.98,23.91,12898,24.34,23.89,23.99,58,23.98,23.91,12898,24.34,23.89,23.99,,
2023-03-03,23.9,24,11026,24.17,23.9,23.99,78,23.9,24,11026,24.17,23.9,23.99,,
2023-03-06,24,23.59,11199,24,23.45,23.68,83,24,23.59,11199,24,23.45,23.68,,
2023-03-07,23.75,23.79,5268,23.85,23.5,23.74,29,23.75,23.79,5268,23.85,23.5,23.74,,
2023-03-08,23.9,23.95,3525,23.95,23.9,23.91,10,23.9,23.95,3525,23.95,23.9,23.91,,
2023-03-09,23.76,23.86,850,23.86,23.76,23.85,2,23.76,23.86,850,23.86,23.76,23.85,,
2023-03-10,24.2,24.01,1202,24.2,23.81,24.01,13,24.2,24.01,1202,24.2,23.81,24.01,,
2023-03-13,23.81,23.27,10584,23.89,23.23,23.49,74,23.81,23.27,10584,23.89,23.23,23.49,,
2023-03-14,24.05,23.88,1229,24.05,23.86,23.88,11,24.05,23.88,1229,24.05,23.86,23.88,,
2023-03-15,23.76,23.78,7121,23.78,23.46,23.59,55,23.76,23.78,7121,23.78,23.46,23.59,,
2023-03-16,24,23.64,5469,24,23.64,23.77,55,24,23.64,5469,24,23.64,23.77,,
2023-03-17,23.64,22.68,54970,23.66,22.26,22.91,258,23.64,22.68,54970,23.66,22.26,22.91,,
2023-03-20,22.82,22.61,19597,23.7,22.17,22.54,151,22.82,22.61,19597,23.7,22.17,22.54,,
2023-03-21,22.41,22.93,11533,23.5,22.41,22.92,99,22.41,22.93,11533,23.5,22.41,22.92,,
2023-03-22,23.09,23.12,5157,23.18,22.92,23.05,28,23.09,23.12,5157,23.18,22.92,23.05,,
2023-03-23,23,23.33,2669,23.48,23,23.27,29,23,23.33,2669,23.48,23,23.27,,
2023-03-24,23.23,23.04,2849,23.27,22.85,23.15,28,23.23,23.04,2849,23.27,22.85,23.15,,
2023-03-27,23.05,23.08,6223,23.13,23.01,23.04,46,23.05,23.08,6223,23.13,23.01,23.04,,
2023-03-28,23.01,23.15,9813,23.16,22.82,23.04,80,23.01,23.15,9813,23.16,22.82,23.04,,
2023-03-29,23.16,23.33,2864,23.33,23.16,23.18,18,23.16,23.33,2864,23.33,23.16,23.18,,
2023-03-30,23.01,23.11,378,23.11,23.01,23.06,7,23.01,23.11,378,23.11,23.01,23.06,,
2023-03-31,23.14,23.09,7446,23.49,23.09,23.25,59,23.14,23.09,7446,23.49,23.09,23.25,,
