Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.99,24.98,2075,25.01,24.96,24.99,29,24.99,24.98,2075,25.01,24.96,24.99,,
2023-03-02,24.99,25.04,932,25.07,24.99,25.02,9,24.99,25.04,932,25.07,24.99,25.02,,
2023-03-03,24.99,24.99,1392,25.01,24.99,24.99,19,24.99,24.99,1392,25.01,24.99,24.99,,
2023-03-06,24.97,25.18,1043,25.18,24.97,25.01,6,24.97,25.18,1043,25.18,24.97,25.01,,
2023-03-07,25.1,25.15,896,25.15,25.1,25.11,12,25.1,25.15,896,25.15,25.1,25.11,,
2023-03-08,25.15,25.16,432,25.16,25.15,25.15,10,25.15,25.16,432,25.16,25.15,25.15,,
2023-03-09,25.14,25.14,2788,25.14,25.05,25.1,20,25.14,25.14,2788,25.14,25.05,25.1,,
2023-03-10,25.08,24.96,4404,25.13,24.96,25.03,28,25.08,24.96,4404,25.13,24.96,25.03,,
2023-03-13,25.04,24.86,1055,25.04,24.86,24.91,20,25.04,24.86,1055,25.04,24.86,24.91,,
2023-03-14,25.08,25.01,419,25.08,25.01,25.06,5,25.08,25.01,419,25.08,25.01,25.06,,
2023-03-15,24.78,24.91,1743,24.91,24.69,24.78,16,24.78,24.91,1743,24.91,24.69,24.78,,
2023-03-16,24.81,24.87,1686,24.96,24.77,24.87,20,24.81,24.87,1686,24.96,24.77,24.87,,
2023-03-17,24.78,25.14,9600,25.14,24.56,24.76,89,24.78,25.14,9600,25.14,24.56,24.76,,
2023-03-20,25.05,24.81,2304,25.05,24.53,24.8,28,25.05,24.81,2304,25.05,24.53,24.8,,
2023-03-21,24.62,24.81,3192,25.01,24.62,24.77,33,24.62,24.81,3192,25.01,24.62,24.77,,
2023-03-22,24.81,24.76,1596,24.81,24.65,24.71,30,24.81,24.76,1596,24.81,24.65,24.71,,
2023-03-23,24.86,24.86,125,24.86,24.86,24.87,3,24.86,24.86,125,24.86,24.86,24.87,,
2023-03-28,24.76,25.07,2674,25.1,24.76,24.99,20,24.76,25.07,2674,25.1,24.76,24.99,,
2023-03-29,25.16,24.93,1380,25.16,24.86,24.97,23,25.16,24.93,1380,25.16,24.86,24.97,,
2023-03-30,24.92,25.08,1314,25.08,24.92,25,21,24.92,25.08,1314,25.08,24.92,25,,
2023-03-31,25.16,25.09,5292,25.24,24.76,25.1,63,25.16,25.09,5292,25.24,24.76,25.1,,
