Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.78,20.58,51897,20.79,20.5,20.62,543,17.84,17.67,51897,17.85,17.6,17.7,,
2023-03-02,20.45,20.51,32698,20.53,20.34,20.43,342,17.55,17.61,32698,17.62,17.46,17.54,,
2023-03-03,20.63,20.9,40566,20.96,20.53,20.71,333,17.71,17.94,40566,17.99,17.62,17.78,,
2023-03-06,20.94,20.97,29473,21.02,20.9,20.97,337,17.98,18,29473,18.04,17.94,18,,
2023-03-07,20.98,20.76,52152,20.98,20.64,20.8,767,18.01,17.82,52152,18.01,17.72,17.86,,
2023-03-08,20.76,20.8,30748,20.86,20.64,20.74,160,17.82,17.86,30748,17.91,17.72,17.8,,
2023-03-09,20.81,20.15,51829,20.81,20.11,20.35,441,17.86,17.3,51829,17.86,17.26,17.47,,
2023-03-10,20.12,19.66,79233,20.32,19.61,19.9,594,17.27,16.88,79233,17.44,16.83,17.08,,
2023-03-13,19.46,19.54,89568,19.91,19.16,19.53,657,16.7,16.77,89568,17.09,16.45,16.77,,
2023-03-14,19.82,20,30964,20.23,19.82,20,489,17.01,17.17,30964,17.37,17.01,17.17,,
2023-03-15,19.61,19.61,47090,19.88,19.34,19.65,599,16.83,16.83,47090,17.07,16.6,16.87,,
2023-03-16,19.5,20.44,94499,20.76,19.31,20.07,772,16.74,17.55,94499,17.82,16.58,17.23,,
2023-03-17,20.38,19.25,61855,20.38,19.16,19.56,607,17.49,16.52,61855,17.49,16.45,16.79,,
2023-03-20,19.39,19.1,53913,19.79,19.1,19.37,546,16.64,16.4,53913,16.99,16.4,16.63,,
2023-03-21,19.32,19.73,44281,19.87,19.32,19.58,410,16.58,16.94,44281,17.06,16.58,16.81,,
2023-03-22,19.81,20.18,41248,20.32,19.55,20,746,17.01,17.32,41248,17.44,16.78,17.17,,
2023-03-23,20.22,19.78,29313,20.39,19.73,20.05,359,17.36,16.98,29313,17.5,16.94,17.21,,
2023-03-24,19.45,19.54,29342,19.77,19.42,19.55,236,16.7,16.77,29342,16.97,16.67,16.78,,
2023-03-27,19.67,20.03,66444,20.16,19.67,19.97,460,16.89,17.19,66444,17.31,16.89,17.14,,
2023-03-28,20.01,20.33,41327,20.36,19.91,20.17,374,17.18,17.45,41327,17.48,17.09,17.31,,
2023-03-29,20.54,21.02,39069,21.06,20.49,20.85,414,17.63,18.04,39069,18.08,17.59,17.9,,
2023-03-30,21.06,21.2,36185,21.31,20.9,21.12,456,18.08,18.2,36185,18.29,17.94,18.13,,
2023-03-31,21.28,21.6,131377,21.6,21.23,21.54,631,18.27,18.54,131377,18.54,18.22,18.49,,
