Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.4,20.36,22077,20.53,20.12,20.3,243,16.98,16.95,22077,17.09,16.75,16.9,,
2023-03-02,20.25,20.25,56084,20.5,20.03,20.24,263,16.85,16.85,56084,17.06,16.67,16.85,,
2023-03-03,20.26,20.13,117515,20.8,19.99,20.24,1008,16.86,16.75,117515,17.31,16.64,16.85,,
2023-03-06,20.18,19.75,93785,20.45,19.68,19.99,859,16.8,16.44,93785,17.02,16.38,16.64,,
2023-03-07,19.78,19.52,31132,20.1,19.45,19.64,300,16.46,16.25,31132,16.73,16.19,16.35,,
2023-03-08,19.58,19.45,55484,20.02,19.12,19.42,478,16.3,16.19,55484,16.66,15.91,16.16,,
2023-03-09,19.18,18.59,34194,19.35,18.5,18.87,384,16.24,15.75,34194,16.39,15.67,15.98,0.3359375,
2023-03-10,18.52,18.38,86969,18.83,17.89,18.38,555,15.69,15.57,86969,15.95,15.15,15.57,,
2023-03-13,18.01,16.67,154469,18.2,16.56,17.52,793,15.25,14.12,154469,15.41,14.03,14.84,,
2023-03-14,17.13,17.54,75472,18.47,17.13,17.66,411,14.51,14.86,75472,15.64,14.51,14.96,,
2023-03-15,17.3,16.87,73000,17.3,16.13,16.64,548,14.65,14.29,73000,14.65,13.66,14.09,,
2023-03-16,17.3,17.09,205524,17.63,16.62,16.96,1745,14.65,14.47,205524,14.93,14.08,14.36,,
2023-03-17,16.99,16.26,99895,17.43,16.22,16.66,895,14.39,13.77,99895,14.76,13.74,14.11,,
2023-03-20,16.61,16.01,141979,16.68,15.54,16.1,929,14.07,13.56,141979,14.13,13.16,13.64,,
2023-03-21,16.24,16.33,76194,16.65,15.99,16.33,620,13.75,13.83,76194,14.1,13.54,13.83,,
2023-03-22,16.36,16.51,60323,16.86,16.36,16.56,593,13.86,13.98,60323,14.28,13.86,14.03,,
2023-03-23,16.53,16.37,66757,16.66,16.26,16.46,583,14,13.86,66757,14.11,13.77,13.94,,
2023-03-24,16.24,16.5,31481,16.68,16.01,16.28,312,13.75,13.97,31481,14.13,13.56,13.79,,
2023-03-27,17.11,16.85,49067,17.29,16.57,16.9,411,14.49,14.27,49067,14.64,14.03,14.31,,
2023-03-28,16.96,17.03,68904,17.4,16.77,17.06,558,14.36,14.42,68904,14.74,14.2,14.45,,
2023-03-29,17.13,17.18,100833,17.8,16.85,17.17,921,14.51,14.55,100833,15.08,14.27,14.54,,
2023-03-30,17.29,16.76,88225,17.29,16.71,16.99,791,14.64,14.2,88225,14.64,14.15,14.39,,
2023-03-31,16.91,16.76,306237,17.26,16.76,16.85,731,14.32,14.2,306237,14.62,14.2,14.27,,
