Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,5.76,5.9,2897,5.95,5.25,5.598,33,3.188,3.265,2897,3.293,2.906,3.098,,
2023-03-02,5.57,4.835,16567,5.896,4.8,5.272,88,3.083,2.676,16567,3.263,2.656,2.918,,
2023-03-03,4.8,4.72,14307,5,4.523,4.729,102,2.656,2.612,14307,2.767,2.503,2.617,,
2023-03-06,4.68,4.9,3537,4.9,4.51,4.663,27,2.59,2.712,3537,2.712,2.496,2.581,,
2023-03-07,5,4.974,3945,5,4.68,4.748,13,2.767,2.753,3945,2.767,2.59,2.628,,
2023-03-08,4.96,4.57,13908,4.96,4.5,4.53,61,2.745,2.529,13908,2.745,2.49,2.507,,
2023-03-09,4.3,4.45,10414,4.475,4.2,4.32,80,2.38,2.463,10414,2.477,2.324,2.391,,
2023-03-10,4.242,3.952,16329,4.242,3.752,3.972,127,2.348,2.187,16329,2.348,2.076,2.198,,
2023-03-13,3.872,4.601,5974,4.601,3.852,4.135,71,2.143,2.546,5974,2.546,2.132,2.288,,
2023-03-14,4.592,4.402,9459,4.835,4.302,4.519,90,2.541,2.436,9459,2.676,2.381,2.501,,
2023-03-15,4.412,4.352,6003,4.412,4.302,4.377,52,2.442,2.409,6003,2.442,2.381,2.422,,
2023-03-16,4.375,4.252,3448,4.375,4.202,4.262,43,2.421,2.353,3448,2.421,2.326,2.359,,
2023-03-17,4.092,4.317,7942,4.432,4.092,4.196,35,2.265,2.389,7942,2.453,2.265,2.322,,
2023-03-20,4.422,4.202,49566,4.422,3.902,4.207,262,2.447,2.326,49566,2.447,2.159,2.328,,
2023-03-21,4.292,4.072,6137,4.292,3.902,3.991,34,2.375,2.254,6137,2.375,2.159,2.209,,
2023-03-22,4.102,4.302,1894,4.302,4.102,4.235,26,2.27,2.381,1894,2.381,2.27,2.344,,
2023-03-23,4.668,4.482,1953,4.668,4.482,4.59,19,2.583,2.48,1953,2.583,2.48,2.54,,
2023-03-24,4.642,4.419,1204,4.642,4.419,4.509,12,2.569,2.446,1204,2.569,2.446,2.495,,
2023-03-27,4.652,4.522,3667,4.652,4.412,4.557,17,2.575,2.503,3667,2.575,2.442,2.522,,
2023-03-28,4.637,4.522,1185,4.637,4.522,4.597,13,2.566,2.503,1185,2.566,2.503,2.544,,
2023-03-29,4.412,4.452,7738,4.502,4.412,4.48,131,2.442,2.464,7738,2.492,2.442,2.479,,
2023-03-30,4.377,4.502,6939,4.502,4.302,4.427,94,2.422,2.492,6939,2.492,2.381,2.45,,
2023-03-31,4.502,4.482,2862,4.502,4.402,4.495,59,2.492,2.48,2862,2.492,2.436,2.488,,
