Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,0.196,0.1301,1560,0.2,0.13,0.159,9,0.196,0.1301,1560,0.2,0.13,0.159,,
2023-03-03,0.13,0.13,500,0.13,0.13,0.13,1,0.13,0.13,500,0.13,0.13,0.13,,
2023-03-06,0.13,0.13,309,0.13,0.13,0.1301,2,0.13,0.13,309,0.13,0.13,0.1301,,
2023-03-13,0.2001,0.2001,100,0.2001,0.2001,0.2001,1,0.2001,0.2001,100,0.2001,0.2001,0.2001,,
2023-03-14,0.1501,0.2501,1141,0.2501,0.1501,0.1672,12,0.1501,0.2501,1141,0.2501,0.1501,0.1672,,
2023-03-15,0.2401,0.2301,13216,0.2401,0.1004,0.1748,68,0.2401,0.2301,13216,0.2401,0.1004,0.1748,,
2023-03-16,0.2007,0.1556,4885,0.2007,0.1001,0.1658,44,0.2007,0.1556,4885,0.2007,0.1001,0.1658,,
2023-03-17,0.1734,0.1251,26136,0.2118,0.1116,0.1693,36,0.1734,0.1251,26136,0.2118,0.1116,0.1693,,
2023-03-20,0.1501,0.1501,600,0.1502,0.1501,0.1501,6,0.1501,0.1501,600,0.1502,0.1501,0.1501,,
2023-03-21,0.1756,0.1756,600,0.1756,0.1756,0.176,5,0.1756,0.1756,600,0.1756,0.1756,0.176,,
2023-03-22,0.1701,0.1701,700,0.1702,0.1701,0.1701,7,0.1701,0.1701,700,0.1702,0.1701,0.1701,,
2023-03-23,0.1702,0.1729,31225,0.2001,0.1613,0.1738,145,0.1702,0.1729,31225,0.2001,0.1613,0.1738,,
2023-03-28,0.1701,0.1751,28789,0.1869,0.1701,0.1778,23,0.1701,0.1751,28789,0.1869,0.1701,0.1778,,
