Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.52,0.52,385,0.52,0.52,0.5174,3,0.52,0.52,385,0.52,0.52,0.5174,,
2023-03-02,0.5,0.5,2142,0.5,0.5,0.4991,5,0.5,0.5,2142,0.5,0.5,0.4991,,
2023-03-03,0.5,0.5,5426,0.64,0.4599,0.5373,56,0.5,0.5,5426,0.64,0.4599,0.5373,,
2023-03-08,0.4998,0.5,622,0.5,0.4998,0.4999,4,0.4998,0.5,622,0.5,0.4998,0.4999,,
2023-03-09,0.4598,0.4101,598,0.4598,0.41,0.4267,6,0.4598,0.4101,598,0.4598,0.41,0.4267,,
2023-03-14,0.46,0.3502,4463,0.46,0.3502,0.4145,15,0.46,0.3502,4463,0.46,0.3502,0.4145,,
2023-03-16,0.3602,0.3602,1628,0.3602,0.3502,0.3515,6,0.3602,0.3602,1628,0.3602,0.3502,0.3515,,
2023-03-17,0.3602,0.2915,1783,0.3602,0.2915,0.3249,5,0.3602,0.2915,1783,0.3602,0.2915,0.3249,,
2023-03-20,0.3003,0.2902,1616,0.4402,0.2902,0.3411,15,0.3003,0.2902,1616,0.4402,0.2902,0.3411,,
2023-03-22,0.2902,0.4002,10475,0.4398,0.2806,0.3767,125,0.2902,0.4002,10475,0.4398,0.2806,0.3767,,
2023-03-23,0.325,0.3399,3262,0.34,0.325,0.3298,32,0.325,0.3399,3262,0.34,0.325,0.3298,,
2023-03-28,0.3003,0.3003,112,0.3003,0.3003,0.3003,1,0.3003,0.3003,112,0.3003,0.3003,0.3003,,
2023-03-29,0.3702,0.3702,758,0.3702,0.3702,0.3685,7,0.3702,0.3702,758,0.3702,0.3702,0.3685,,
2023-03-31,0.3011,0.3894,1000,0.3894,0.3001,0.3451,10,0.3011,0.3894,1000,0.3894,0.3001,0.3451,,
