Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.4777,0.4777,100,0.4777,0.4777,0.4777,1,0.4777,0.4777,100,0.4777,0.4777,0.4777,,
2023-03-02,0.4277,0.47,3531,0.47,0.4277,0.464,10,0.4277,0.47,3531,0.47,0.4277,0.464,,
2023-03-03,0.43,0.44,8706,0.46,0.42,0.4501,31,0.43,0.44,8706,0.46,0.42,0.4501,,
2023-03-06,0.42,0.3709,22400,0.4402,0.3701,0.3946,221,0.42,0.3709,22400,0.4402,0.3701,0.3946,,
2023-03-07,0.3704,0.36,5937,0.4004,0.36,0.3797,18,0.3704,0.36,5937,0.4004,0.36,0.3797,,
2023-03-08,0.36,0.365,566,0.39,0.36,0.3686,5,0.36,0.365,566,0.39,0.36,0.3686,,
2023-03-09,0.36,0.39,5399,0.4108,0.36,0.3964,21,0.36,0.39,5399,0.4108,0.36,0.3964,,
2023-03-10,0.3602,0.374,11756,0.3901,0.3003,0.3486,53,0.3602,0.374,11756,0.3901,0.3003,0.3486,,
2023-03-13,0.3502,0.3502,3002,0.3651,0.3502,0.3513,10,0.3502,0.3502,3002,0.3651,0.3502,0.3513,,
2023-03-14,0.3502,0.4178,2988,0.4178,0.3502,0.3872,13,0.3502,0.4178,2988,0.4178,0.3502,0.3872,,
2023-03-15,0.3602,0.3602,100,0.3602,0.3602,0.3602,1,0.3602,0.3602,100,0.3602,0.3602,0.3602,,
2023-03-16,0.3502,0.3934,4602,0.3935,0.3502,0.3752,16,0.3502,0.3934,4602,0.3935,0.3502,0.3752,,
2023-03-17,0.3502,0.3552,200,0.3552,0.3502,0.3527,2,0.3502,0.3552,200,0.3552,0.3502,0.3527,,
2023-03-20,0.3152,0.37,2661,0.4376,0.3152,0.3917,20,0.3152,0.37,2661,0.4376,0.3152,0.3917,,
2023-03-21,0.3207,0.3888,3852,0.4135,0.3207,0.3907,19,0.3207,0.3888,3852,0.4135,0.3207,0.3907,,
2023-03-22,0.3288,0.3888,400,0.3888,0.3288,0.3663,4,0.3288,0.3888,400,0.3888,0.3288,0.3663,,
2023-03-23,0.3188,0.4197,6094,0.4292,0.3188,0.3834,28,0.3188,0.4197,6094,0.4292,0.3188,0.3834,,
2023-03-24,0.3397,0.4244,1101,0.4244,0.3397,0.3884,10,0.3397,0.4244,1101,0.4244,0.3397,0.3884,,
2023-03-27,0.3444,0.3916,1531,0.4036,0.3444,0.3931,15,0.3444,0.3916,1531,0.4036,0.3444,0.3931,,
2023-03-28,0.3116,0.3536,600,0.3536,0.3116,0.3416,6,0.3116,0.3536,600,0.3536,0.3116,0.3416,,
2023-03-29,0.3036,0.3803,46378,0.4257,0.3036,0.4103,342,0.3036,0.3803,46378,0.4257,0.3036,0.4103,,
2023-03-30,0.3106,0.3769,1251,0.3944,0.3106,0.3809,10,0.3106,0.3769,1251,0.3944,0.3106,0.3809,,
2023-03-31,0.3168,0.4004,6187,0.4004,0.3168,0.3589,30,0.3168,0.4004,6187,0.4004,0.3168,0.3589,,
