Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,0.061,0.065,5013,0.065,0.06,0.0611,15,0.061,0.065,5013,0.065,0.06,0.0611,,
2023-03-02,0.0651,0.075,10547,0.075,0.065,0.071,20,0.0651,0.075,10547,0.075,0.065,0.071,,
2023-03-03,0.0836,0.075,1012,0.0836,0.0675,0.0752,14,0.0836,0.075,1012,0.0836,0.0675,0.0752,,
2023-03-06,0.06,0.07,4665,0.075,0.06,0.0703,14,0.06,0.07,4665,0.075,0.06,0.0703,,
2023-03-07,0.0669,0.075,2463,0.075,0.0665,0.0717,12,0.0669,0.075,2463,0.075,0.0665,0.0717,,
2023-03-08,0.0836,0.0587,20143,0.0836,0.0587,0.0652,39,0.0836,0.0587,20143,0.0836,0.0587,0.0652,,
2023-03-09,0.0575,0.0661,14168,0.0698,0.0575,0.0623,28,0.0575,0.0661,14168,0.0698,0.0575,0.0623,,
2023-03-10,0.0602,0.0603,5466,0.07,0.0602,0.0686,17,0.0602,0.0603,5466,0.07,0.0602,0.0686,,
2023-03-13,0.0601,0.065,4092,0.07,0.06,0.0649,25,0.0601,0.065,4092,0.07,0.06,0.0649,,
2023-03-14,0.058,0.06,19186,0.0665,0.058,0.0586,54,0.058,0.06,19186,0.0665,0.058,0.0586,,
2023-03-15,0.0736,0.0577,3621,0.08,0.0577,0.0693,15,0.0736,0.0577,3621,0.08,0.0577,0.0693,,
2023-03-16,0.0601,0.0576,9445,0.0601,0.0575,0.0585,32,0.0601,0.0576,9445,0.0601,0.0575,0.0585,,
2023-03-17,0.058,0.067,37550,0.069,0.055,0.0576,47,0.058,0.067,37550,0.069,0.055,0.0576,,
2023-03-20,0.0669,0.068,7550,0.069,0.0526,0.0639,32,0.0669,0.068,7550,0.069,0.0526,0.0639,,
2023-03-22,0.0551,0.0551,3435,0.0551,0.055,0.055,12,0.0551,0.0551,3435,0.0551,0.055,0.055,,
2023-03-23,0.055,0.0502,30428,0.0551,0.0502,0.0533,55,0.055,0.0502,30428,0.0551,0.0502,0.0533,,
2023-03-24,0.0455,0.0527,55731,0.061,0.03,0.0415,75,0.0455,0.0527,55731,0.061,0.03,0.0415,,
2023-03-27,0.0451,0.0525,4325,0.0525,0.0451,0.0458,23,0.0451,0.0525,4325,0.0525,0.0451,0.0458,,
2023-03-28,0.055,0.0598,15698,0.0598,0.041,0.0461,35,0.055,0.0598,15698,0.0598,0.041,0.0461,,
2023-03-29,0.0598,0.0598,4307,0.0598,0.0596,0.0595,19,0.0598,0.0598,4307,0.0598,0.0596,0.0595,,
2023-03-30,0.033,0.0528,26240,0.0531,0.033,0.038,23,0.033,0.0528,26240,0.0531,0.033,0.038,,
2023-03-31,0.0551,0.0415,25574,0.0551,0.041,0.0514,29,0.0551,0.0415,25574,0.0551,0.041,0.0514,,
